Date,Value,Anomaly
200004,63.8,3.4
200005,70.8,3.3
200006,78.6,3.9
200007,77.7,-3.0
200008,80.6,1.5
200009,73.8,0.2
200010,64.1,-0.4
200011,49.6,-3.6
200012,48.1,2.4
200101,46.1,0.8
200102,49.1,-1.4
200103,58.9,4.3
200104,58.4,-2.0
200105,76.5,9.0
200106,78.6,3.9
200107,80.5,-0.2
200108,80.3,1.2
200109,76.2,2.6
200110,68.5,4.0
200111,56.4,3.2
200112,47.0,1.3
200201,44.6,-0.7
200202,52.5,2.0
200203,55.1,0.5
200204,62.5,2.1
200205,68.7,1.2
200206,77.0,2.3
200207,82.5,1.8
200208,79.0,-0.1
200209,76.2,2.6
200210,64.4,-0.1
200211,55.5,2.3
200212,49.6,3.9
200301,49.0,3.7
200302,50.7,0.2
200303,57.8,3.2
200304,57.6,-2.8
200305,68.1,0.6
200306,77.6,2.9
200307,84.4,3.7
200308,79.5,0.4
200309,78.2,4.6
200310,69.8,5.3
200311,52.0,-1.2
200312,49.6,3.9
200401,45.9,0.6
200402,50.5,0.0
200403,62.5,7.9
200404,64.8,4.4
200405,70.0,2.5
200406,76.1,1.4
200407,81.3,0.6
200408,79.8,0.7
200409,75.1,1.5
200410,64.0,-0.5
200411,51.0,-2.2
200412,45.6,-0.1
200501,46.5,1.2
200502,53.4,2.9
200503,57.2,2.6
200504,58.9,-1.5
200505,68.4,0.9
200506,72.3,-2.4
200507,84.6,3.9
200508,81.8,2.7
200509,71.6,-2.0
200510,64.6,0.1
200511,57.0,3.8
200512,50.4,4.7
200601,48.1,2.8
200602,52.7,2.2
200603,50.5,-4.1
200604,59.0,-1.4
200605,71.2,3.7
200606,79.2,4.5
200607,85.2,4.5
200608,78.2,-0.9
200609,74.7,1.1
200610,62.8,-1.7
200611,54.5,1.3
200612,46.8,1.1
200701,43.7,-1.6
200702,52.1,1.6
200703,60.6,6.0
200704,62.7,2.3
200705,70.8,3.3
200706,76.5,1.8
200707,81.1,0.4
200708,81.1,2.0
200709,72.3,-1.3
200710,63.2,-1.3
200711,56.5,3.3
200712,45.0,-0.7
200801,46.8,1.5
200802,50.7,0.2
200803,56.5,1.9
200804,60.9,0.5
200805,69.0,1.5
200806,77.3,2.6
200807,82.4,1.7
200808,82.9,3.8
200809,76.9,3.3
200810,66.8,2.3
200811,57.0,3.8
200812,44.5,-1.2
200901,47.7,2.4
200902,50.9,0.4
200903,55.5,0.9
200904,60.9,0.5
200905,74.3,6.8
200906,74.8,0.1
200907,83.5,2.8
200908,80.0,0.9
200909,77.8,4.2
200910,62.6,-1.9
200911,53.3,0.1
200912,46.5,0.8
201001,47.9,2.6
201002,51.9,1.4
201003,54.8,0.2
201004,56.7,-3.7
201005,63.7,-3.8
201006,75.9,1.2
201007,81.2,0.5
201008,78.6,-0.5
201009,74.9,1.3
201010,66.8,2.3
201011,53.0,-0.2
201012,50.2,4.5
201101,45.4,0.1
201102,48.6,-1.9
201103,54.2,-0.4
201104,59.9,-0.5
201105,64.2,-3.3
201106,73.1,-1.6
201107,80.1,-0.6
201108,79.7,0.6
201109,77.8,4.2
201110,66.8,2.3
201111,52.2,-1.0
201112,44.2,-1.5
201201,48.3,3.0
201202,51.7,1.2
201203,55.1,0.5
201204,61.7,1.3
201205,70.2,2.7
201206,75.0,0.3
201207,79.7,-1.0
201208,83.5,4.4
201209,78.5,4.9
201210,66.4,1.9
201211,56.0,2.8
201212,48.1,2.4
201301,45.1,-0.2
201302,49.4,-1.1
201303,59.4,4.8
201304,65.3,4.9
201305,70.5,3.0
201306,78.3,3.6
201307,84.5,3.8
201308,79.8,0.7
201309,74.8,1.2
201310,64.4,-0.1
201311,56.2,3.0
201312,46.3,0.6
201401,51.7,6.4
201402,55.0,4.5
201403,60.6,6.0
201404,64.7,4.3
201405,72.6,5.1
201406,78.6,3.9
201407,84.3,3.6
201408,81.8,2.7
201409,78.5,4.9
201410,69.9,5.4
201411,57.0,3.8
201412,51.4,5.7
201501,47.7,2.4
201502,56.7,6.2
201503,63.5,8.9
201504,64.0,3.6
201505,67.4,-0.1
201506,80.7,6.0
201507,81.8,1.1
201508,81.1,2.0
201509,77.8,4.2
201510,70.1,5.6
201511,51.1,-2.1
201512,45.9,0.2
201601,49.8,4.5
201602,55.3,4.8
201603,58.4,3.8
201604,64.6,4.2
201605,70.0,2.5
201606,80.0,5.3
201607,83.0,2.3
201608,81.8,2.7
201609,75.7,2.1
201610,65.8,1.3
201611,57.1,3.9
201612,47.2,1.5
201701,47.2,1.9
201702,52.8,2.3
201703,57.7,3.1
201704,61.7,1.3
201705,70.1,2.6
201706,79.4,4.7
201707,84.8,4.1
201708,84.5,5.4
201709,76.8,3.2
201710,66.2,1.7
201711,57.4,4.2
201712,48.8,3.1
201801,51.3,6.0
201802,51.7,1.2
201803,55.4,0.8
201804,63.7,3.3
201805,69.1,1.6
201806,77.0,2.3
201807,85.4,4.7
201808,81.1,2.0
201809,75.9,2.3
201810,66.3,1.8
201811,56.8,3.6
201812,48.3,2.6
201901,50.3,5.0
201902,48.6,-1.9
201903,55.9,1.3
201904,65.3,4.9
201905,65.3,-2.2
201906,78.9,4.2
201907,82.0,1.3
201908,82.1,3.0
201909,74.7,1.1
201910,63.1,-1.4
201911,56.1,2.9
201912,49.4,3.7
202001,47.6,2.3
202002,54.1,3.6
202003,54.5,-0.1
202004,62.9,2.5
202005,71.8,4.3
202006,76.9,2.2
202007,82.1,1.4
202008,84.3,5.2
202009,78.6,5.0
202010,70.6,6.1
202011,54.2,1.0
202012,48.1,2.4
202101,49.4,4.1
202102,52.8,2.3
202103,54.5,-0.1
202104,63.9,3.5
202105,71.4,3.9
202106,80.2,5.5
202107,86.3,5.6
202108,82.4,3.3
202109,77.0,3.4
202110,63.2,-1.3
202111,55.6,2.4
202112,46.8,1.1
202201,48.8,3.5
202202,52.3,1.8
202203,59.0,4.4
202204,62.6,2.2
202205,69.3,1.8
202206,78.4,3.7
202207,83.3,2.6
202208,84.9,5.8
202209,79.0,5.4
202210,69.3,4.8
202211,50.4,-2.8
202212,46.2,0.5
202301,48.2,2.9
202302,48.2,-2.3
202303,52.4,-2.2
