Date,Value,Anomaly
199508,94.9,4.1
199509,89.8,4.7
199510,76.6,2.8
199511,68.7,6.5
199512,58.2,3.7
199601,58.1,3.9
199602,63.2,4.8
199603,66.2,3.1
199604,73.8,4.0
199605,81.4,4.2
199606,88.2,2.6
199607,94.5,2.8
199608,93.6,2.8
199609,85.3,0.2
199610,75.1,1.3
199611,64.7,2.5
199612,57.1,2.6
199701,57.6,3.4
199702,59.3,0.9
199703,68.8,5.7
199704,71.1,1.3
199705,84.8,7.6
199706,84.8,-0.8
199707,90.6,-1.1
199708,93.8,3.0
199709,88.2,3.1
199710,73.7,-0.1
199711,65.2,3.0
199712,53.6,-0.9
199801,57.1,2.9
199802,57.0,-1.4
199803,62.9,-0.2
199804,67.1,-2.7
199805,73.6,-3.6
199806,82.6,-3.0
199807,94.0,2.3
199808,94.4,3.6
199809,85.8,0.7
199810,73.3,-0.5
199811,62.8,0.6
199812,55.3,0.8
199901,58.0,3.8
199902,59.9,1.5
199903,63.3,0.2
199904,65.8,-4.0
199905,77.4,0.2
199906,85.2,-0.4
199907,91.0,-0.7
199908,91.5,0.7
199909,87.4,2.3
199910,79.1,5.3
199911,66.8,4.6
199912,57.0,2.5
200001,59.2,5.0
200002,60.8,2.4
200003,64.2,1.1
200004,74.3,4.5
200005,82.3,5.1
200006,88.8,3.2
200007,92.0,0.3
200008,92.5,1.7
200009,86.4,1.3
200010,72.7,-1.1
200011,58.0,-4.2
200012,58.3,3.8
200101,54.3,0.1
200102,56.7,-1.7
200103,66.2,3.1
200104,69.2,-0.6
200105,84.4,7.2
200106,89.6,4.0
200107,91.5,-0.2
200108,92.6,1.8
200109,88.9,3.8
200110,78.4,4.6
200111,67.1,4.9
200112,53.5,-1.0
200201,55.5,1.3
200202,59.8,1.4
200203,62.6,-0.5
200204,71.8,2.0
200205,78.2,1.0
200206,88.9,3.3
200207,93.5,1.8
200208,91.4,0.6
200209,87.6,2.5
200210,73.7,-0.1
200211,65.7,3.5
200212,55.5,1.0
200301,62.8,8.6
200302,59.1,0.7
200303,65.7,2.6
200304,67.4,-2.4
200305,79.1,1.9
200306,86.2,0.6
200307,94.4,2.7
200308,92.9,2.1
200309,89.3,4.2
200310,82.0,8.2
200311,60.6,-1.6
200312,55.8,1.3
200401,56.4,2.2
200402,56.6,-1.8
200403,72.3,9.2
200404,72.5,2.7
200405,80.8,3.6
200406,86.5,0.9
200407,92.5,0.8
200408,91.6,0.8
200409,85.5,0.4
200410,72.8,-1.0
200411,59.7,-2.5
200412,55.8,1.3
200501,57.5,3.3
200502,58.9,0.5
200503,64.8,1.7
200504,69.8,0.0
200505,79.9,2.7
200506,85.8,0.2
200507,94.6,2.9
200508,92.6,1.8
200509,85.4,0.3
200510,75.4,1.6
200511,65.9,3.7
200512,57.3,2.8
200601,57.3,3.1
200602,61.2,2.8
200603,60.8,-2.3
200604,69.2,-0.6
200605,81.5,4.3
200606,91.5,5.9
200607,95.9,4.2
200608,92.0,1.2
200609,85.7,0.6
200610,74.0,0.2
200611,66.5,4.3
200612,55.1,0.6
200701,52.9,-1.3
200702,60.5,2.1
200703,68.1,5.0
200704,71.5,1.7
200705,80.0,2.8
200706,87.8,2.2
200707,93.6,1.9
200708,94.3,3.5
200709,85.7,0.6
200710,74.8,1.0
200711,67.2,5.0
200712,52.9,-1.6
200801,54.0,-0.2
200802,59.6,1.2
200803,66.2,3.1
200804,71.4,1.6
200805,76.4,-0.8
200806,90.0,4.4
200807,93.3,1.6
200808,92.4,1.6
200809,88.7,3.6
200810,77.2,3.4
200811,68.1,5.9
200812,55.6,1.1
200901,59.8,5.6
200902,59.4,1.0
200903,65.4,2.3
200904,69.8,0.0
200905,84.5,7.3
200906,84.2,-1.4
200907,96.2,4.5
200908,92.8,2.0
200909,89.5,4.4
200910,73.1,-0.7
200911,65.5,3.3
200912,54.7,0.2
201001,57.6,3.4
201002,59.7,1.3
201003,63.4,0.3
201004,67.5,-2.3
201005,75.2,-2.0
201006,86.6,1.0
201007,94.1,2.4
201008,92.5,1.7
201009,88.0,2.9
201010,74.6,0.8
201011,62.7,0.5
201012,59.0,4.5
201101,57.0,2.8
201102,55.7,-2.7
201103,66.2,3.1
201104,71.6,1.8
201105,74.9,-2.3
201106,86.0,0.4
201107,92.4,0.7
201108,95.1,4.3
201109,88.5,3.4
201110,77.2,3.4
201111,61.9,-0.3
201112,52.9,-1.6
201201,58.8,4.6
201202,59.7,1.3
201203,64.2,1.1
201204,72.2,2.4
201205,82.0,4.8
201206,88.8,3.2
201207,91.8,0.1
201208,94.0,3.2
201209,89.3,4.2
201210,77.7,3.9
201211,66.8,4.6
201212,57.3,2.8
201301,54.2,0.0
201302,57.7,-0.7
201303,69.8,6.7
201304,73.5,3.7
201305,80.7,3.5
201306,90.1,4.5
201307,93.8,2.1
201308,91.8,1.0
201309,86.4,1.3
201310,72.8,-1.0
201311,64.7,2.5
201312,56.8,2.3
201401,61.8,7.6
201402,64.5,6.1
201403,68.7,5.6
201404,73.6,3.8
201405,80.8,3.6
201406,89.0,3.4
201407,94.4,2.7
201408,91.4,0.6
201409,89.6,4.5
201410,79.7,5.9
201411,66.1,3.9
201412,58.5,4.0
201501,59.2,5.0
201502,66.7,8.3
201503,71.6,8.5
201504,72.9,3.1
201505,75.3,-1.9
201506,90.2,4.6
201507,91.4,-0.3
201508,95.8,5.0
201509,89.8,4.7
201510,80.3,6.5
201511,62.1,-0.1
201512,55.0,0.5
201601,56.3,2.1
201602,65.6,7.2
201603,68.2,5.1
201604,72.3,2.5
201605,76.7,-0.5
201606,90.9,5.3
201607,95.0,3.3
201608,93.9,3.1
201609,84.7,-0.4
201610,79.0,5.2
201611,66.9,4.7
201612,56.6,2.1
201701,56.1,1.9
201702,62.4,4.0
201703,70.7,7.6
201704,75.0,5.2
201705,78.9,1.7
201706,90.0,4.4
201707,95.7,4.0
201708,94.9,4.1
201709,85.0,-0.1
201710,78.5,4.7
201711,69.4,7.2
201712,59.4,4.9
201801,61.6,7.4
201802,59.6,1.2
201803,65.4,2.3
201804,75.2,5.4
201805,78.8,1.6
201806,88.1,2.5
201807,95.3,3.6
201808,94.9,4.1
201809,90.0,4.9
201810,74.6,0.8
201811,64.2,2.0
201812,56.3,1.8
201901,55.7,1.5
201902,53.8,-4.6
201903,64.5,1.4
201904,74.0,4.2
201905,73.7,-3.5
201906,86.8,1.2
201907,92.8,1.1
201908,94.2,3.4
201909,86.0,0.9
201910,73.8,0.0
201911,64.9,2.7
201912,54.8,0.3
202001,57.9,3.7
202002,60.4,2.0
202003,62.2,-0.9
202004,72.1,2.3
202005,83.1,5.9
202006,87.1,1.5
202007,94.0,2.3
202008,96.6,5.8
202009,89.7,4.6
202010,80.0,6.2
202011,65.4,3.2
202012,56.5,2.0
202101,57.4,3.2
202102,61.2,2.8
202103,62.6,-0.5
202104,74.8,5.0
202105,80.0,2.8
202106,91.9,6.3
202107,95.4,3.7
202108,93.5,2.7
202109,88.9,3.8
202110,73.9,0.1
202111,70.1,7.9
202112,58.4,3.9
202201,58.3,4.1
202202,59.6,1.2
202203,67.1,4.0
202204,73.9,4.1
202205,80.7,3.5
202206,91.0,5.4
202207,95.0,3.3
202208,93.8,3.0
202209,89.3,4.2
202210,77.2,3.4
202211,60.3,-1.9
202212,56.2,1.7
202301,55.1,0.9
202302,55.4,-3.0
202303,61.3,-1.8
