San Bernardino County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199102,1.30,0.13
199103,3.19,2.23
199104,0.00,-0.38
199105,0.02,-0.14
199106,0.06,0.01
199107,0.49,0.13
199108,0.27,-0.26
199109,0.58,0.24
199110,0.23,-0.14
199111,0.10,-0.40
199112,1.07,0.19
199201,1.01,-0.16
199202,3.28,2.11
199203,3.43,2.47
199204,0.19,-0.19
199205,0.24,0.08
199206,0.00,-0.05
199207,0.19,-0.17
199208,0.35,-0.18
199209,0.00,-0.34
199210,0.78,0.41
199211,0.00,-0.50
199212,2.21,1.33
199301,5.15,3.98
199302,3.69,2.52
199303,0.62,-0.34
199304,0.00,-0.38
199305,0.07,-0.09
199306,0.21,0.16
199307,0.00,-0.36
199308,0.28,-0.25
199309,0.00,-0.34
199310,0.11,-0.26
199311,0.44,-0.06
199312,0.33,-0.55
199401,0.25,-0.92
199402,1.12,-0.05
199403,1.05,0.09
199404,0.26,-0.12
199405,0.16,0.00
199406,0.00,-0.05
199407,0.10,-0.26
199408,0.21,-0.32
199409,0.06,-0.28
199410,0.24,-0.13
199411,0.44,-0.06
199412,1.35,0.47
199501,4.44,3.27
199502,0.81,-0.36
199503,1.85,0.89
199504,0.26,-0.12
199505,0.15,-0.01
199506,0.07,0.02
199507,0.05,-0.31
199508,0.18,-0.35
199509,0.15,-0.19
199510,0.00,-0.37
199511,0.00,-0.50
199512,0.35,-0.53
199601,0.39,-0.78
199602,1.53,0.36
199603,0.46,-0.50
199604,0.07,-0.31
199605,0.14,-0.02
199606,0.00,-0.05
199607,0.27,-0.09
199608,0.10,-0.43
199609,0.12,-0.22
199610,0.43,0.06
199611,0.87,0.37
199612,0.67,-0.21
199701,1.41,0.24
199702,0.18,-0.99
199703,0.00,-0.96
199704,0.13,-0.25
199705,0.07,-0.09
199706,0.04,-0.01
199707,0.42,0.06
199708,0.14,-0.39
199709,1.78,1.44
199710,0.07,-0.30
199711,0.55,0.05
199712,1.11,0.23
199801,0.71,-0.46
199802,5.00,3.83
199803,1.39,0.43
199804,0.39,0.01
199805,0.48,0.32
199806,0.02,-0.03
199807,0.44,0.08
199808,0.47,-0.06
199809,1.03,0.69
199810,0.11,-0.26
199811,0.23,-0.27
199812,0.11,-0.77
199901,0.32,-0.85
199902,0.35,-0.82
199903,0.09,-0.87
199904,1.16,0.78
199905,0.11,-0.05
199906,0.17,0.12
199907,1.12,0.76
199908,0.12,-0.41
199909,0.42,0.08
199910,0.00,-0.37
199911,0.02,-0.48
199912,0.01,-0.87
200001,0.15,-1.02
200002,1.68,0.51
200003,0.63,-0.33
200004,0.28,-0.10
200005,0.01,-0.15
200006,0.07,0.02
200007,0.00,-0.36
200008,0.80,0.27
200009,0.03,-0.31
200010,0.58,0.21
200011,0.04,-0.46
200012,0.01,-0.87
200101,1.64,0.47
200102,2.35,1.18
200103,0.72,-0.24
200104,0.35,-0.03
200105,0.01,-0.15
200106,0.00,-0.05
200107,0.37,0.01
200108,0.14,-0.39
200109,0.07,-0.27
200110,0.07,-0.30
200111,0.46,-0.04
200112,0.35,-0.53
200201,0.14,-1.03
200202,0.02,-1.15
200203,0.17,-0.79
200204,0.09,-0.29
200205,0.01,-0.15
200206,0.00,-0.05
200207,0.18,-0.18
200208,0.00,-0.53
200209,0.16,-0.18
200210,0.17,-0.20
200211,0.72,0.22
200212,0.68,-0.20
200301,0.13,-1.04
200302,2.34,1.17
200303,1.23,0.27
200304,0.81,0.43
200305,0.12,-0.04
200306,0.01,-0.04
200307,0.19,-0.17
200308,0.82,0.29
200309,0.19,-0.15
200310,0.01,-0.36
200311,1.01,0.51
200312,0.72,-0.16
200401,0.12,-1.05
200402,2.33,1.16
200403,0.55,-0.41
200404,0.57,0.19
200405,0.00,-0.16
200406,0.00,-0.05
200407,0.09,-0.27
200408,0.53,0.00
200409,0.13,-0.21
200410,1.80,1.43
200411,1.20,0.70
200412,2.09,1.21
200501,3.88,2.71
200502,4.13,2.96
200503,0.78,-0.18
200504,0.20,-0.18
200505,0.09,-0.07
200506,0.00,-0.05
200507,0.48,0.12
200508,0.75,0.22
200509,0.41,0.07
200510,1.15,0.78
200511,0.02,-0.48
200512,0.05,-0.83
200601,0.35,-0.82
200602,0.39,-0.78
200603,0.80,-0.16
200604,0.52,0.14
200605,0.03,-0.13
200606,0.05,0.00
200607,0.36,0.00
200608,0.05,-0.48
200609,0.17,-0.17
200610,0.50,0.13
200611,0.01,-0.49
200612,0.19,-0.69
200701,0.14,-1.03
200702,0.22,-0.95
200703,0.11,-0.85
200704,0.19,-0.19
200705,0.00,-0.16
200706,0.00,-0.05
200707,0.25,-0.11
200708,0.18,-0.35
200709,0.77,0.43
200710,0.02,-0.35
200711,0.66,0.16
200712,1.11,0.23
200801,2.11,0.94
200802,0.45,-0.72
200803,0.03,-0.93
200804,0.00,-0.38
200805,0.24,0.08
200806,0.00,-0.05
200807,0.43,0.07
200808,0.36,-0.17
200809,0.05,-0.29
200810,0.01,-0.36
200811,1.08,0.58
200812,1.78,0.90
200901,0.10,-1.07
200902,1.42,0.25
200903,0.05,-0.91
200904,0.03,-0.35
200905,0.03,-0.13
200906,0.04,-0.01
200907,0.08,-0.28
200908,0.10,-0.43
200909,0.01,-0.33
200910,0.04,-0.33
200911,0.14,-0.36
200912,1.14,0.26
201001,3.71,2.54
201002,1.90,0.73
201003,0.46,-0.50
201004,0.30,-0.08
201005,0.03,-0.13
201006,0.02,-0.03
201007,0.06,-0.30
201008,0.20,-0.33
201009,0.01,-0.33
201010,1.17,0.80
201011,0.26,-0.24
201012,3.95,3.07
201101,0.13,-1.04
201102,0.91,-0.26
201103,0.53,-0.43
201104,0.14,-0.24
201105,0.18,0.02
201106,0.00,-0.05
201107,0.51,0.15
201108,0.30,-0.23
201109,0.79,0.45
201110,0.28,-0.09
201111,0.53,0.03
201112,0.47,-0.41
201201,0.15,-1.02
201202,0.27,-0.90
201203,0.32,-0.64
201204,0.58,0.20
201205,0.01,-0.15
201206,0.00,-0.05
201207,1.01,0.65
201208,0.88,0.35
201209,0.29,-0.05
201210,0.33,-0.04
201211,0.08,-0.42
201212,1.14,0.26
201301,0.73,-0.44
201302,0.25,-0.92
201303,0.34,-0.62
201304,0.02,-0.36
201305,0.07,-0.09
201306,0.00,-0.05
201307,0.35,-0.01
201308,0.94,0.41
201309,0.52,0.18
201310,0.09,-0.28
201311,0.93,0.43
201312,0.13,-0.75
201401,0.02,-1.15
201402,0.44,-0.73
201403,0.46,-0.50
201404,0.25,-0.13
201405,0.11,-0.05
201406,0.00,-0.05
201407,0.47,0.11
201408,1.06,0.53
201409,0.46,0.12
201410,0.03,-0.34
201411,0.09,-0.41
201412,1.43,0.55
201501,1.01,-0.16
201502,0.52,-0.65
201503,0.50,-0.46
201504,0.19,-0.19
201505,0.23,0.07
201506,0.06,0.01
201507,1.20,0.84
201508,0.10,-0.43
201509,0.33,-0.01
201510,0.90,0.53
201511,0.23,-0.27
201512,0.27,-0.61
201601,1.49,0.32
201602,0.25,-0.92
201603,0.34,-0.62
201604,0.83,0.45
201605,0.15,-0.01
201606,0.03,-0.02
201607,0.16,-0.20
201608,0.30,-0.23
201609,0.18,-0.16
201610,0.53,0.16
201611,0.24,-0.26
201612,2.10,1.22
201701,2.91,1.74
201702,1.30,0.13
201703,0.04,-0.92
201704,0.02,-0.36
201705,0.19,0.03
201706,0.00,-0.05
201707,0.35,-0.01
201708,0.36,-0.17
201709,0.39,0.05
201710,0.00,-0.37
201711,0.00,-0.50
201712,0.00,-0.88
201801,1.12,-0.05
201802,0.12,-1.05
201803,0.92,-0.04
201804,0.00,-0.38
201805,0.25,0.09
201806,0.00,-0.05
201807,0.51,0.15
201808,0.15,-0.38
201809,0.01,-0.33
201810,0.81,0.44
201811,0.36,-0.14
201812,0.86,-0.02
201901,1.87,0.70
201902,2.90,1.73
201903,1.17,0.21
201904,0.18,-0.20
201905,0.52,0.36
201906,0.01,-0.04
201907,0.24,-0.12
201908,0.06,-0.47
201909,0.24,-0.10
201910,0.00,-0.37
201911,1.39,0.89
201912,2.21,1.33
202001,0.03,-1.14
202002,0.23,-0.94
202003,2.39,1.43
202004,1.33,0.95
202005,0.01,-0.15
202006,0.00,-0.05
202007,0.00,-0.36
202008,0.07,-0.46
202009,0.00,-0.34
202010,0.00,-0.37
202011,0.14,-0.36
202012,0.24,-0.64
202101,0.85,-0.32
202102,0.04,-1.13
202103,0.30,-0.66
202104,0.01,-0.37
202105,0.01,-0.15
202106,0.05,0.00
202107,0.68,0.32
202108,0.27,-0.26
202109,0.18,-0.16
202110,0.35,-0.02
202111,0.00,-0.50
202112,1.56,0.68
202201,0.05,-1.12
202202,0.19,-0.98
202203,0.21,-0.75
202204,0.07,-0.31
202205,0.00,-0.16
202206,0.04,-0.01
202207,0.44,0.08
202208,0.98,0.45
202209,0.36,0.02
202210,0.34,-0.03
202211,0.62,0.12
202212,0.51,-0.37
202301,1.86,0.69
202302,0.70,-0.47
202303,2.02,1.06
