Butte County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199303,5.37,-0.97
199304,3.31,0.07
199305,3.06,1.30
199306,1.89,1.26
199307,0.00,-0.03
199308,0.57,0.47
199309,0.00,-0.65
199310,1.91,-0.48
199311,3.15,-2.20
199312,6.31,-1.27
199401,3.92,-4.81
199402,8.10,0.49
199403,1.03,-5.31
199404,2.75,-0.49
199405,2.17,0.41
199406,0.09,-0.54
199407,0.00,-0.03
199408,0.00,-0.10
199409,0.10,-0.55
199410,1.10,-1.29
199411,7.42,2.07
199412,8.27,0.69
199501,26.17,17.44
199502,1.62,-5.99
199503,20.35,14.01
199504,6.54,3.30
199505,4.01,2.25
199506,2.67,2.04
199507,0.04,0.01
199508,0.00,-0.10
199509,0.00,-0.65
199510,0.00,-2.39
199511,0.25,-5.10
199512,11.82,4.24
199601,9.40,0.67
199602,11.21,3.60
199603,4.14,-2.20
199604,5.23,1.99
199605,5.75,3.99
199606,0.32,-0.31
199607,0.03,0.00
199608,0.00,-0.10
199609,0.63,-0.02
199610,2.98,0.59
199611,4.96,-0.39
199612,19.15,11.57
199701,16.11,7.38
199702,0.51,-7.10
199703,2.58,-3.76
199704,1.65,-1.59
199705,0.68,-1.08
199706,1.14,0.51
199707,0.07,0.04
199708,0.73,0.63
199709,0.56,-0.09
199710,3.54,1.15
199711,10.12,4.77
199712,3.98,-3.60
199801,17.52,8.79
199802,20.26,12.65
199803,6.04,-0.30
199804,4.87,1.63
199805,7.03,5.27
199806,1.36,0.73
199807,0.01,-0.02
199808,0.00,-0.10
199809,0.55,-0.10
199810,1.99,-0.40
199811,10.11,4.76
199812,3.58,-4.00
199901,5.51,-3.22
199902,11.20,3.59
199903,3.91,-2.43
199904,2.51,-0.73
199905,0.40,-1.36
199906,0.53,-0.10
199907,0.00,-0.03
199908,0.17,0.07
199909,0.01,-0.64
199910,1.96,-0.43
199911,5.14,-0.21
199912,1.11,-6.47
200001,9.81,1.08
200002,16.67,9.06
200003,4.81,-1.53
200004,3.05,-0.19
200005,1.76,0.00
200006,0.58,-0.05
200007,0.00,-0.03
200008,0.00,-0.10
200009,0.59,-0.06
200010,5.56,3.17
200011,1.69,-3.66
200012,1.82,-5.76
200101,6.74,-1.99
200102,9.27,1.66
200103,3.33,-3.01
200104,3.31,0.07
200105,0.04,-1.72
200106,0.35,-0.28
200107,0.02,-0.01
200108,0.00,-0.10
200109,0.53,-0.12
200110,2.29,-0.10
200111,8.73,3.38
200112,12.55,4.97
200201,5.82,-2.91
200202,2.59,-5.02
200203,4.79,-1.55
200204,1.43,-1.81
200205,1.80,0.04
200206,0.00,-0.63
200207,0.02,-0.01
200208,0.00,-0.10
200209,0.00,-0.65
200210,0.00,-2.39
200211,4.73,-0.62
200212,19.96,12.38
200301,6.39,-2.34
200302,3.25,-4.36
200303,4.79,-1.55
200304,9.14,5.90
200305,2.16,0.40
200306,0.01,-0.62
200307,0.01,-0.02
200308,0.62,0.52
200309,0.01,-0.64
200310,0.18,-2.21
200311,4.78,-0.57
200312,13.50,5.92
200401,5.63,-3.10
200402,11.63,4.02
200403,1.98,-4.36
200404,0.83,-2.41
200405,0.71,-1.05
200406,0.05,-0.58
200407,0.00,-0.03
200408,0.01,-0.09
200409,0.18,-0.47
200410,6.56,4.17
200411,2.40,-2.95
200412,9.33,1.75
200501,7.45,-1.28
200502,4.06,-3.55
200503,6.92,0.58
200504,2.95,-0.29
200505,6.39,4.63
200506,2.19,1.56
200507,0.00,-0.03
200508,0.00,-0.10
200509,0.16,-0.49
200510,1.84,-0.55
200511,5.35,0.00
200512,20.29,12.71
200601,7.53,-1.20
200602,6.37,-1.24
200603,13.57,7.23
200604,9.89,6.65
200605,0.90,-0.86
200606,0.17,-0.46
200607,0.00,-0.03
200608,0.01,-0.09
200609,0.00,-0.65
200610,0.22,-2.17
200611,4.53,-0.82
200612,7.28,-0.30
200701,0.50,-8.23
200702,11.06,3.45
200703,1.04,-5.30
200704,2.95,-0.29
200705,0.82,-0.94
200706,0.28,-0.35
200707,0.17,0.14
200708,0.00,-0.10
200709,0.89,0.24
200710,2.58,0.19
200711,1.23,-4.12
200712,6.59,-0.99
200801,11.00,2.27
200802,5.80,-1.81
200803,0.77,-5.57
200804,0.62,-2.62
200805,0.22,-1.54
200806,0.02,-0.61
200807,0.00,-0.03
200808,0.02,-0.08
200809,0.00,-0.65
200810,2.58,0.19
200811,4.07,-1.28
200812,4.68,-2.90
200901,3.11,-5.62
200902,12.01,4.40
200903,4.83,-1.51
200904,0.66,-2.58
200905,3.06,1.30
200906,0.75,0.12
200907,0.00,-0.03
200908,0.04,-0.06
200909,0.59,-0.06
200910,3.41,1.02
200911,2.05,-3.30
200912,5.18,-2.40
201001,12.99,4.26
201002,5.89,-1.72
201003,3.96,-2.38
201004,7.83,4.59
201005,2.35,0.59
201006,0.12,-0.51
201007,0.01,-0.02
201008,0.05,-0.05
201009,0.13,-0.52
201010,5.12,2.73
201011,6.11,0.76
201012,13.34,5.76
201101,2.21,-6.52
201102,8.18,0.57
201103,13.31,6.97
201104,1.25,-1.99
201105,4.77,3.01
201106,2.76,2.13
201107,0.00,-0.03
201108,0.00,-0.10
201109,0.14,-0.51
201110,3.55,1.16
201111,2.24,-3.11
201112,0.32,-7.26
201201,7.48,-1.25
201202,2.66,-4.95
201203,11.54,5.20
201204,4.99,1.75
201205,0.14,-1.62
201206,0.59,-0.04
201207,0.01,-0.02
201208,0.01,-0.09
201209,0.00,-0.65
201210,2.18,-0.21
201211,9.94,4.59
201212,13.92,6.34
201301,1.19,-7.54
201302,0.87,-6.74
201303,2.57,-3.77
201304,0.93,-2.31
201305,0.76,-1.00
201306,1.42,0.79
201307,0.00,-0.03
201308,0.03,-0.07
201309,1.26,0.61
201310,0.45,-1.94
201311,2.22,-3.13
201312,0.49,-7.09
201401,0.84,-7.89
201402,10.04,2.43
201403,9.06,2.72
201404,1.36,-1.88
201405,0.51,-1.25
201406,0.00,-0.63
201407,0.03,0.00
201408,0.49,0.39
201409,0.72,0.07
201410,1.88,-0.51
201411,4.36,-0.99
201412,14.43,6.85
201501,0.21,-8.52
201502,4.58,-3.03
201503,0.58,-5.76
201504,2.24,-1.00
201505,0.29,-1.47
201506,0.22,-0.41
201507,0.06,0.03
201508,0.07,-0.03
201509,0.27,-0.38
201510,0.64,-1.75
201511,3.80,-1.55
201512,7.78,0.20
201601,14.46,5.73
201602,1.94,-5.67
201603,12.92,6.58
201604,1.92,-1.32
201605,0.99,-0.77
201606,0.52,-0.11
201607,0.00,-0.03
201608,0.00,-0.10
201609,0.01,-0.64
201610,9.10,6.71
201611,4.22,-1.13
201612,9.88,2.30
201701,16.25,7.52
201702,15.79,8.18
201703,5.65,-0.69
201704,6.40,3.16
201705,0.38,-1.38
201706,0.92,0.29
201707,0.00,-0.03
201708,0.01,-0.09
201709,0.41,-0.24
201710,0.70,-1.69
201711,9.49,4.14
201712,0.41,-7.17
201801,6.19,-2.54
201802,0.62,-6.99
201803,10.05,3.71
201804,5.39,2.15
201805,0.52,-1.24
201806,0.02,-0.61
201807,0.01,-0.02
201808,0.00,-0.10
201809,0.00,-0.65
201810,0.99,-1.40
201811,6.08,0.73
201812,4.64,-2.94
201901,12.01,3.28
201902,19.53,11.92
201903,9.06,2.72
201904,2.64,-0.60
201905,5.13,3.37
201906,0.12,-0.51
201907,0.00,-0.03
201908,0.01,-0.09
201909,1.54,0.89
201910,0.06,-2.33
201911,1.44,-3.91
201912,8.56,0.98
202001,4.06,-4.67
202002,0.04,-7.57
202003,3.53,-2.81
202004,1.92,-1.32
202005,3.64,1.88
202006,0.22,-0.41
202007,0.01,-0.02
202008,0.04,-0.06
202009,0.00,-0.65
202010,0.00,-2.39
202011,2.35,-3.00
202012,3.35,-4.23
202101,5.03,-3.70
202102,3.38,-4.23
202103,4.22,-2.12
202104,0.51,-2.73
202105,0.05,-1.71
202106,0.06,-0.57
202107,0.00,-0.03
202108,0.00,-0.10
202109,0.38,-0.27
202110,8.93,6.54
202111,2.35,-3.00
202112,10.87,3.29
202201,0.90,-7.83
202202,0.09,-7.52
202203,1.42,-4.92
202204,3.79,0.55
202205,0.53,-1.23
202206,1.26,0.63
202207,0.00,-0.03
202208,0.01,-0.09
202209,1.72,1.07
202210,0.00,-2.39
202211,3.66,-1.69
202212,11.38,3.80
202301,14.16,5.43
202302,4.26,-3.35
202303,13.28,6.94
