Tehama County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199304,3.38,0.70
199305,3.64,2.11
199306,1.76,1.05
199307,0.00,-0.07
199308,0.39,0.23
199309,0.01,-0.62
199310,2.43,0.30
199311,2.20,-2.34
199312,4.53,-1.65
199401,3.70,-3.16
199402,7.33,1.31
199403,1.31,-3.70
199404,2.57,-0.11
199405,2.33,0.80
199406,0.13,-0.58
199407,0.00,-0.07
199408,0.00,-0.16
199409,0.15,-0.48
199410,0.52,-1.61
199411,6.21,1.67
199412,5.79,-0.39
199501,25.52,18.66
199502,1.82,-4.20
199503,15.75,10.74
199504,4.97,2.29
199505,2.69,1.16
199506,1.78,1.07
199507,0.08,0.01
199508,0.00,-0.16
199509,0.00,-0.63
199510,0.05,-2.08
199511,0.31,-4.23
199512,10.93,4.75
199601,8.78,1.92
199602,8.76,2.74
199603,3.65,-1.36
199604,4.35,1.67
199605,4.84,3.31
199606,0.31,-0.40
199607,0.08,0.01
199608,0.01,-0.15
199609,0.61,-0.02
199610,2.38,0.25
199611,4.07,-0.47
199612,14.91,8.73
199701,11.63,4.77
199702,0.86,-5.16
199703,2.56,-2.45
199704,1.76,-0.92
199705,0.68,-0.85
199706,1.12,0.41
199707,0.23,0.16
199708,0.81,0.65
199709,0.91,0.28
199710,2.68,0.55
199711,8.03,3.49
199712,4.24,-1.94
199801,14.70,7.84
199802,17.96,11.94
199803,6.16,1.15
199804,3.80,1.12
199805,7.44,5.91
199806,2.19,1.48
199807,0.01,-0.06
199808,0.00,-0.16
199809,0.24,-0.39
199810,1.78,-0.35
199811,9.17,4.63
199812,2.85,-3.33
199901,3.39,-3.47
199902,8.75,2.73
199903,4.42,-0.59
199904,2.18,-0.50
199905,0.19,-1.34
199906,0.90,0.19
199907,0.00,-0.07
199908,0.33,0.17
199909,0.00,-0.63
199910,1.66,-0.47
199911,5.27,0.73
199912,0.96,-5.22
200001,8.25,1.39
200002,11.37,5.35
200003,3.38,-1.63
200004,3.36,0.68
200005,1.75,0.22
200006,0.57,-0.14
200007,0.19,0.12
200008,0.11,-0.05
200009,0.86,0.23
200010,4.17,2.04
200011,1.51,-3.03
200012,1.25,-4.93
200101,6.14,-0.72
200102,6.68,0.66
200103,3.72,-1.29
200104,2.37,-0.31
200105,0.06,-1.47
200106,0.67,-0.04
200107,0.05,-0.02
200108,0.00,-0.16
200109,0.68,0.05
200110,1.44,-0.69
200111,8.46,3.92
200112,10.11,3.93
200201,4.32,-2.54
200202,2.20,-3.82
200203,2.85,-2.16
200204,1.51,-1.17
200205,1.05,-0.48
200206,0.02,-0.69
200207,0.02,-0.05
200208,0.00,-0.16
200209,0.00,-0.63
200210,0.00,-2.13
200211,4.33,-0.21
200212,16.86,10.68
200301,6.31,-0.55
200302,2.52,-3.50
200303,5.02,0.01
200304,7.15,4.47
200305,1.95,0.42
200306,0.01,-0.70
200307,0.03,-0.04
200308,0.71,0.55
200309,0.09,-0.54
200310,0.07,-2.06
200311,4.97,0.43
200312,12.07,5.89
200401,4.20,-2.66
200402,10.71,4.69
200403,1.97,-3.04
200404,0.94,-1.74
200405,1.08,-0.45
200406,0.09,-0.62
200407,0.02,-0.05
200408,0.00,-0.16
200409,0.26,-0.37
200410,4.66,2.53
200411,2.55,-1.99
200412,8.46,2.28
200501,6.46,-0.40
200502,3.82,-2.20
200503,4.97,-0.04
200504,2.82,0.14
200505,5.59,4.06
200506,1.45,0.74
200507,0.00,-0.07
200508,0.00,-0.16
200509,0.16,-0.47
200510,0.78,-1.35
200511,6.42,1.88
200512,15.62,9.44
200601,6.56,-0.30
200602,5.07,-0.95
200603,9.70,4.69
200604,8.10,5.42
200605,1.06,-0.47
200606,0.37,-0.34
200607,0.00,-0.07
200608,0.01,-0.15
200609,0.00,-0.63
200610,0.22,-1.91
200611,3.81,-0.73
200612,6.04,-0.14
200701,0.41,-6.45
200702,7.76,1.74
200703,1.23,-3.78
200704,2.26,-0.42
200705,0.77,-0.76
200706,0.19,-0.52
200707,0.39,0.32
200708,0.00,-0.16
200709,0.67,0.04
200710,2.67,0.54
200711,0.84,-3.70
200712,4.93,-1.25
200801,10.77,3.91
200802,4.22,-1.80
200803,0.83,-4.18
200804,0.45,-2.23
200805,0.41,-1.12
200806,0.01,-0.70
200807,0.00,-0.07
200808,0.02,-0.14
200809,0.03,-0.60
200810,2.00,-0.13
200811,3.20,-1.34
200812,3.71,-2.47
200901,1.76,-5.10
200902,9.91,3.89
200903,4.10,-0.91
200904,0.69,-1.99
200905,2.05,0.52
200906,1.69,0.98
200907,0.01,-0.06
200908,0.18,0.02
200909,0.18,-0.45
200910,3.13,1.00
200911,1.80,-2.74
200912,4.62,-1.56
201001,11.19,4.33
201002,6.04,0.02
201003,3.14,-1.87
201004,5.88,3.20
201005,1.89,0.36
201006,0.20,-0.51
201007,0.03,-0.04
201008,0.09,-0.07
201009,0.34,-0.29
201010,4.69,2.56
201011,3.51,-1.03
201012,9.50,3.32
201101,1.79,-5.07
201102,4.67,-1.35
201103,9.91,4.90
201104,1.44,-1.24
201105,3.14,1.61
201106,2.00,1.29
201107,0.02,-0.05
201108,0.00,-0.16
201109,0.09,-0.54
201110,2.79,0.66
201111,3.46,-1.08
201112,0.27,-5.91
201201,6.17,-0.69
201202,2.26,-3.76
201203,9.03,4.02
201204,3.73,1.05
201205,0.36,-1.17
201206,0.49,-0.22
201207,0.01,-0.06
201208,0.01,-0.15
201209,0.00,-0.63
201210,1.34,-0.79
201211,7.86,3.32
201212,11.83,5.65
201301,1.37,-5.49
201302,0.68,-5.34
201303,2.22,-2.79
201304,1.37,-1.31
201305,0.85,-0.68
201306,1.17,0.46
201307,0.04,-0.03
201308,0.04,-0.12
201309,1.11,0.48
201310,0.27,-1.86
201311,1.92,-2.62
201312,0.38,-5.80
201401,0.50,-6.36
201402,8.55,2.53
201403,7.79,2.78
201404,1.30,-1.38
201405,0.51,-1.02
201406,0.04,-0.67
201407,0.08,0.01
201408,0.40,0.24
201409,1.65,1.02
201410,2.05,-0.08
201411,4.28,-0.26
201412,15.19,9.01
201501,0.25,-6.61
201502,4.29,-1.73
201503,1.04,-3.97
201504,1.76,-0.92
201505,0.61,-0.92
201506,0.33,-0.38
201507,0.18,0.11
201508,0.04,-0.12
201509,0.40,-0.23
201510,0.62,-1.51
201511,2.64,-1.90
201512,7.40,1.22
201601,12.23,5.37
201602,1.60,-4.42
201603,9.80,4.79
201604,2.07,-0.61
201605,1.47,-0.06
201606,1.21,0.50
201607,0.01,-0.06
201608,0.00,-0.16
201609,0.02,-0.61
201610,7.15,5.02
201611,5.10,0.56
201612,7.33,1.15
201701,11.81,4.95
201702,11.25,5.23
201703,4.12,-0.89
201704,5.04,2.36
201705,0.47,-1.06
201706,0.47,-0.24
201707,0.00,-0.07
201708,0.05,-0.11
201709,0.33,-0.30
201710,0.78,-1.35
201711,6.19,1.65
201712,0.33,-5.85
201801,5.24,-1.62
201802,0.32,-5.70
201803,6.71,1.70
201804,5.36,2.68
201805,0.93,-0.60
201806,0.17,-0.54
201807,0.01,-0.06
201808,0.00,-0.16
201809,0.01,-0.62
201810,0.90,-1.23
201811,5.80,1.26
201812,5.13,-1.05
201901,9.32,2.46
201902,14.32,8.30
201903,8.43,3.42
201904,1.99,-0.69
201905,4.37,2.84
201906,0.05,-0.66
201907,0.00,-0.07
201908,0.24,0.08
201909,0.92,0.29
201910,0.16,-1.97
201911,1.40,-3.14
201912,7.24,1.06
202001,3.47,-3.39
202002,0.02,-6.00
202003,3.96,-1.05
202004,1.12,-1.56
202005,3.06,1.53
202006,0.29,-0.42
202007,0.02,-0.05
202008,0.11,-0.05
202009,0.00,-0.63
202010,0.01,-2.12
202011,1.52,-3.02
202012,2.92,-3.26
202101,4.46,-2.40
202102,2.67,-3.35
202103,3.41,-1.60
202104,0.63,-2.05
202105,0.15,-1.38
202106,0.11,-0.60
202107,0.01,-0.06
202108,0.00,-0.16
202109,0.51,-0.12
202110,7.73,5.60
202111,2.36,-2.18
202112,7.99,1.81
202201,0.62,-6.24
202202,0.03,-5.99
202203,1.23,-3.78
202204,2.43,-0.25
202205,0.25,-1.28
202206,1.07,0.36
202207,0.01,-0.06
202208,0.02,-0.14
202209,1.37,0.74
202210,0.00,-2.13
202211,3.53,-1.01
202212,9.12,2.94
202301,11.91,5.05
202302,4.07,-1.95
202303,12.55,7.54
