Kern County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199305,0.04,-0.26
199306,0.37,0.31
199307,0.00,-0.05
199308,0.00,-0.08
199309,0.00,-0.18
199310,0.26,-0.11
199311,0.85,0.07
199312,0.77,-0.56
199401,0.79,-0.97
199402,1.96,0.15
199403,0.87,-0.71
199404,0.77,0.01
199405,0.60,0.30
199406,0.00,-0.06
199407,0.01,-0.04
199408,0.00,-0.08
199409,0.20,0.02
199410,0.31,-0.06
199411,1.13,0.35
199412,1.11,-0.22
199501,6.28,4.52
199502,0.91,-0.90
199503,4.62,3.04
199504,0.77,0.01
199505,0.50,0.20
199506,0.19,0.13
199507,0.01,-0.04
199508,0.13,0.05
199509,0.01,-0.17
199510,0.00,-0.37
199511,0.03,-0.75
199512,1.62,0.29
199601,1.17,-0.59
199602,3.26,1.45
199603,0.90,-0.68
199604,0.21,-0.55
199605,0.03,-0.27
199606,0.02,-0.04
199607,0.06,0.01
199608,0.02,-0.06
199609,0.00,-0.18
199610,1.11,0.74
199611,1.25,0.47
199612,2.48,1.15
199701,2.61,0.85
199702,0.56,-1.25
199703,0.09,-1.49
199704,0.05,-0.71
199705,0.00,-0.30
199706,0.01,-0.05
199707,0.08,0.03
199708,0.01,-0.07
199709,0.50,0.32
199710,0.23,-0.14
199711,1.62,0.84
199712,1.79,0.46
199801,1.97,0.21
199802,8.15,6.34
199803,2.72,1.14
199804,1.16,0.40
199805,1.31,1.01
199806,0.26,0.20
199807,0.01,-0.04
199808,0.19,0.11
199809,0.57,0.39
199810,0.22,-0.15
199811,0.84,0.06
199812,0.49,-0.84
199901,2.76,1.00
199902,0.53,-1.28
199903,0.66,-0.92
199904,1.34,0.58
199905,0.06,-0.24
199906,0.03,-0.03
199907,0.28,0.23
199908,0.00,-0.08
199909,0.06,-0.12
199910,0.00,-0.37
199911,0.27,-0.51
199912,0.11,-1.22
200001,1.19,-0.57
200002,2.94,1.13
200003,1.51,-0.07
200004,0.74,-0.02
200005,0.17,-0.13
200006,0.09,0.03
200007,0.00,-0.05
200008,0.11,0.03
200009,0.01,-0.17
200010,0.63,0.26
200011,0.03,-0.75
200012,0.03,-1.30
200101,2.64,0.88
200102,3.18,1.37
200103,1.07,-0.51
200104,1.14,0.38
200105,0.02,-0.28
200106,0.00,-0.06
200107,0.14,0.09
200108,0.00,-0.08
200109,0.01,-0.17
200110,0.31,-0.06
200111,1.40,0.62
200112,1.18,-0.15
200201,0.49,-1.27
200202,0.20,-1.61
200203,0.68,-0.90
200204,0.34,-0.42
200205,0.19,-0.11
200206,0.06,0.00
200207,0.00,-0.05
200208,0.00,-0.08
200209,0.01,-0.17
200210,0.01,-0.36
200211,1.87,1.09
200212,2.01,0.68
200301,0.09,-1.67
200302,2.74,0.93
200303,0.92,-0.66
200304,1.34,0.58
200305,0.54,0.24
200306,0.03,-0.03
200307,0.20,0.15
200308,0.24,0.16
200309,0.16,-0.02
200310,0.04,-0.33
200311,0.72,-0.06
200312,1.56,0.23
200401,0.62,-1.14
200402,2.88,1.07
200403,0.52,-1.06
200404,0.11,-0.65
200405,0.00,-0.30
200406,0.00,-0.06
200407,0.00,-0.05
200408,0.02,-0.06
200409,0.00,-0.18
200410,2.12,1.75
200411,0.33,-0.45
200412,2.34,1.01
200501,4.11,2.35
200502,2.89,1.08
200503,1.59,0.01
200504,0.96,0.20
200505,0.90,0.60
200506,0.00,-0.06
200507,0.11,0.06
200508,0.22,0.14
200509,0.35,0.17
200510,1.15,0.78
200511,0.17,-0.61
200512,0.99,-0.34
200601,1.74,-0.02
200602,0.69,-1.12
200603,2.32,0.74
200604,1.57,0.81
200605,0.15,-0.15
200606,0.01,-0.05
200607,0.09,0.04
200608,0.00,-0.08
200609,0.04,-0.14
200610,0.37,0.00
200611,0.10,-0.68
200612,0.89,-0.44
200701,0.51,-1.25
200702,1.22,-0.59
200703,0.53,-1.05
200704,0.46,-0.30
200705,0.00,-0.30
200706,0.00,-0.06
200707,0.01,-0.04
200708,0.06,-0.02
200709,0.20,0.02
200710,0.26,-0.11
200711,0.18,-0.60
200712,0.67,-0.66
200801,2.60,0.84
200802,1.23,-0.58
200803,0.07,-1.51
200804,0.08,-0.68
200805,0.16,-0.14
200806,0.00,-0.06
200807,0.20,0.15
200808,0.00,-0.08
200809,0.01,-0.17
200810,0.03,-0.34
200811,1.66,0.88
200812,1.14,-0.19
200901,0.49,-1.27
200902,2.38,0.57
200903,0.39,-1.19
200904,0.21,-0.55
200905,0.23,-0.07
200906,0.18,0.12
200907,0.01,-0.04
200908,0.01,-0.07
200909,0.03,-0.15
200910,0.21,-0.16
200911,0.26,-0.52
200912,1.52,0.19
201001,2.68,0.92
201002,2.04,0.23
201003,0.42,-1.16
201004,1.20,0.44
201005,0.19,-0.11
201006,0.00,-0.06
201007,0.04,-0.01
201008,0.02,-0.06
201009,0.00,-0.18
201010,1.05,0.68
201011,0.70,-0.08
201012,5.51,4.18
201101,0.56,-1.20
201102,0.97,-0.84
201103,2.57,0.99
201104,0.21,-0.55
201105,0.52,0.22
201106,0.13,0.07
201107,0.10,0.05
201108,0.02,-0.06
201109,0.05,-0.13
201110,0.49,0.12
201111,0.95,0.17
201112,0.14,-1.19
201201,0.65,-1.11
201202,0.42,-1.39
201203,1.40,-0.18
201204,1.54,0.78
201205,0.01,-0.29
201206,0.00,-0.06
201207,0.03,-0.02
201208,0.05,-0.03
201209,0.04,-0.14
201210,0.15,-0.22
201211,0.27,-0.51
201212,1.25,-0.08
201301,0.81,-0.95
201302,0.43,-1.38
201303,0.65,-0.93
201304,0.08,-0.68
201305,0.14,-0.16
201306,0.00,-0.06
201307,0.11,0.06
201308,0.13,0.05
201309,0.06,-0.12
201310,0.09,-0.28
201311,0.83,0.05
201312,0.27,-1.06
201401,0.16,-1.60
201402,0.90,-0.91
201403,0.98,-0.60
201404,0.59,-0.17
201405,0.19,-0.11
201406,0.00,-0.06
201407,0.00,-0.05
201408,0.09,0.01
201409,0.01,-0.17
201410,0.04,-0.33
201411,0.42,-0.36
201412,2.79,1.46
201501,0.81,-0.95
201502,0.86,-0.95
201503,0.31,-1.27
201504,0.21,-0.55
201505,0.50,0.20
201506,0.05,-0.01
201507,0.50,0.45
201508,0.00,-0.08
201509,0.18,0.00
201510,0.58,0.21
201511,0.76,-0.02
201512,0.80,-0.53
201601,2.49,0.73
201602,0.70,-1.11
201603,1.09,-0.49
201604,0.92,0.16
201605,0.30,0.00
201606,0.00,-0.06
201607,0.00,-0.05
201608,0.00,-0.08
201609,0.00,-0.18
201610,0.42,0.05
201611,0.73,-0.05
201612,2.56,1.23
201701,5.12,3.36
201702,3.05,1.24
201703,0.45,-1.13
201704,0.25,-0.51
201705,0.18,-0.12
201706,0.01,-0.05
201707,0.01,-0.04
201708,0.05,-0.03
201709,0.32,0.14
201710,0.01,-0.36
201711,0.20,-0.58
201712,0.03,-1.30
201801,1.53,-0.23
201802,0.35,-1.46
201803,2.67,1.09
201804,0.31,-0.45
201805,0.11,-0.19
201806,0.00,-0.06
201807,0.08,0.03
201808,0.00,-0.08
201809,0.00,-0.18
201810,0.06,-0.31
201811,0.82,0.04
201812,1.10,-0.23
201901,2.80,1.04
201902,2.95,1.14
201903,2.12,0.54
201904,0.24,-0.52
201905,1.26,0.96
201906,0.10,0.04
201907,0.01,-0.04
201908,0.00,-0.08
201909,0.01,-0.17
201910,0.00,-0.37
201911,1.47,0.69
201912,2.36,1.03
202001,0.31,-1.45
202002,0.14,-1.67
202003,2.39,0.81
202004,2.25,1.49
202005,0.13,-0.17
202006,0.05,-0.01
202007,0.00,-0.05
202008,0.02,-0.06
202009,0.00,-0.18
202010,0.00,-0.37
202011,0.26,-0.52
202012,0.50,-0.83
202101,1.27,-0.49
202102,0.10,-1.71
202103,0.76,-0.82
202104,0.20,-0.56
202105,0.00,-0.30
202106,0.05,-0.01
202107,0.12,0.07
202108,0.00,-0.08
202109,0.01,-0.17
202110,0.92,0.55
202111,0.03,-0.75
202112,3.35,2.02
202201,0.06,-1.70
202202,0.16,-1.65
202203,1.13,-0.45
202204,0.36,-0.40
202205,0.00,-0.30
202206,0.17,0.11
202207,0.01,-0.04
202208,0.08,0.00
202209,0.35,0.17
202210,0.01,-0.36
202211,1.01,0.23
202212,2.01,0.68
202301,3.80,2.04
202302,2.91,1.10
202303,3.00,1.42
