Merced County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199303,2.69,0.80
199304,0.27,-0.65
199305,0.67,0.28
199306,0.34,0.27
199307,0.00,0.00
199308,0.00,-0.01
199309,0.00,-0.16
199310,0.20,-0.32
199311,0.68,-0.50
199312,1.13,-0.65
199401,1.69,-0.57
199402,2.79,0.69
199403,0.28,-1.61
199404,0.98,0.06
199405,1.25,0.86
199406,0.00,-0.07
199407,0.00,0.00
199408,0.00,-0.01
199409,0.15,-0.01
199410,0.45,-0.07
199411,1.50,0.32
199412,0.87,-0.91
199501,6.48,4.22
199502,0.47,-1.63
199503,5.20,3.31
199504,1.15,0.23
199505,0.78,0.39
199506,0.30,0.23
199507,0.03,0.03
199508,0.00,-0.01
199509,0.00,-0.16
199510,0.00,-0.52
199511,0.01,-1.17
199512,2.75,0.97
199601,3.07,0.81
199602,3.58,1.48
199603,1.71,-0.18
199604,0.73,-0.19
199605,1.02,0.63
199606,0.05,-0.02
199607,0.00,0.00
199608,0.00,-0.01
199609,0.00,-0.16
199610,1.45,0.93
199611,2.18,1.00
199612,4.49,2.71
199701,5.18,2.92
199702,0.18,-1.92
199703,0.04,-1.85
199704,0.17,-0.75
199705,0.07,-0.32
199706,0.05,-0.02
199707,0.00,0.00
199708,0.00,-0.01
199709,0.03,-0.13
199710,0.12,-0.40
199711,2.74,1.56
199712,1.98,0.20
199801,4.15,1.89
199802,7.91,5.81
199803,3.03,1.14
199804,1.36,0.44
199805,2.07,1.68
199806,0.31,0.24
199807,0.00,0.00
199808,0.00,-0.01
199809,0.04,-0.12
199810,0.60,0.08
199811,1.20,0.02
199812,0.70,-1.08
199901,2.20,-0.06
199902,2.07,-0.03
199903,1.47,-0.42
199904,0.91,-0.01
199905,0.12,-0.27
199906,0.01,-0.06
199907,0.00,0.00
199908,0.00,-0.01
199909,0.01,-0.15
199910,0.02,-0.50
199911,0.74,-0.44
199912,0.14,-1.64
200001,3.45,1.19
200002,4.36,2.26
200003,0.88,-1.01
200004,1.41,0.49
200005,0.43,0.04
200006,0.19,0.12
200007,0.00,0.00
200008,0.01,0.00
200009,0.08,-0.08
200010,2.68,2.16
200011,0.24,-0.94
200012,0.21,-1.57
200101,2.89,0.63
200102,2.15,0.05
200103,1.63,-0.26
200104,1.22,0.30
200105,0.00,-0.39
200106,0.00,-0.07
200107,0.01,0.01
200108,0.00,-0.01
200109,0.14,-0.02
200110,0.26,-0.26
200111,1.87,0.69
200112,2.93,1.15
200201,1.13,-1.13
200202,0.64,-1.46
200203,1.21,-0.68
200204,0.18,-0.74
200205,0.45,0.06
200206,0.01,-0.06
200207,0.00,0.00
200208,0.00,-0.01
200209,0.01,-0.15
200210,0.00,-0.52
200211,1.89,0.71
200212,3.80,2.02
200301,0.72,-1.54
200302,1.17,-0.93
200303,0.99,-0.90
200304,1.27,0.35
200305,0.75,0.36
200306,0.00,-0.07
200307,0.00,0.00
200308,0.09,0.08
200309,0.01,-0.15
200310,0.07,-0.45
200311,0.78,-0.40
200312,3.31,1.53
200401,1.12,-1.14
200402,3.18,1.08
200403,0.50,-1.39
200404,0.04,-0.88
200405,0.15,-0.24
200406,0.00,-0.07
200407,0.00,0.00
200408,0.00,-0.01
200409,0.12,-0.04
200410,2.65,2.13
200411,1.16,-0.02
200412,3.30,1.52
200501,3.38,1.12
200502,2.71,0.61
200503,2.62,0.73
200504,1.04,0.12
200505,1.05,0.66
200506,0.11,0.04
200507,0.00,0.00
200508,0.03,0.02
200509,0.16,0.00
200510,0.13,-0.39
200511,0.27,-0.91
200512,2.81,1.03
200601,2.54,0.28
200602,0.92,-1.18
200603,3.39,1.50
200604,2.31,1.39
200605,0.95,0.56
200606,0.00,-0.07
200607,0.00,0.00
200608,0.00,-0.01
200609,0.00,-0.16
200610,0.31,-0.21
200611,0.68,-0.50
200612,1.60,-0.18
200701,0.58,-1.68
200702,1.65,-0.45
200703,0.36,-1.53
200704,0.62,-0.30
200705,0.04,-0.35
200706,0.00,-0.07
200707,0.01,0.01
200708,0.00,-0.01
200709,0.38,0.22
200710,0.74,0.22
200711,0.34,-0.84
200712,1.26,-0.52
200801,4.22,1.96
200802,1.73,-0.37
200803,0.04,-1.85
200804,0.01,-0.91
200805,0.12,-0.27
200806,0.00,-0.07
200807,0.00,0.00
200808,0.00,-0.01
200809,0.00,-0.16
200810,0.20,-0.32
200811,0.79,-0.39
200812,1.56,-0.22
200901,1.69,-0.57
200902,2.28,0.18
200903,0.82,-1.07
200904,0.39,-0.53
200905,0.39,0.00
200906,0.16,0.09
200907,0.00,0.00
200908,0.00,-0.01
200909,0.09,-0.07
200910,1.62,1.10
200911,0.22,-0.96
200912,2.21,0.43
201001,3.34,1.08
201002,2.64,0.54
201003,0.96,-0.93
201004,2.82,1.90
201005,0.38,-0.01
201006,0.01,-0.06
201007,0.00,0.00
201008,0.00,-0.01
201009,0.00,-0.16
201010,0.83,0.31
201011,1.91,0.73
201012,3.86,2.08
201101,1.24,-1.02
201102,2.01,-0.09
201103,3.72,1.83
201104,0.19,-0.73
201105,0.61,0.22
201106,0.42,0.35
201107,0.00,0.00
201108,0.00,-0.01
201109,0.00,-0.16
201110,0.87,0.35
201111,0.88,-0.30
201112,0.10,-1.68
201201,0.99,-1.27
201202,0.47,-1.63
201203,2.14,0.25
201204,1.49,0.57
201205,0.02,-0.37
201206,0.23,0.16
201207,0.01,0.01
201208,0.00,-0.01
201209,0.02,-0.14
201210,0.25,-0.27
201211,1.43,0.25
201212,3.11,1.33
201301,1.05,-1.21
201302,0.35,-1.75
201303,0.58,-1.31
201304,0.41,-0.51
201305,0.09,-0.30
201306,0.05,-0.02
201307,0.00,0.00
201308,0.00,-0.01
201309,0.03,-0.13
201310,0.05,-0.47
201311,0.58,-0.60
201312,0.31,-1.47
201401,0.39,-1.87
201402,1.95,-0.15
201403,1.43,-0.46
201404,0.63,-0.29
201405,0.02,-0.37
201406,0.00,-0.07
201407,0.00,0.00
201408,0.00,-0.01
201409,0.05,-0.11
201410,0.26,-0.26
201411,1.24,0.06
201412,4.15,2.37
201501,0.02,-2.24
201502,1.20,-0.90
201503,0.21,-1.68
201504,0.66,-0.26
201505,0.34,-0.05
201506,0.00,-0.07
201507,0.01,0.01
201508,0.03,0.02
201509,0.01,-0.15
201510,0.42,-0.10
201511,2.34,1.16
201512,1.74,-0.04
201601,4.66,2.40
201602,0.42,-1.68
201603,3.06,1.17
201604,1.79,0.87
201605,0.39,0.00
201606,0.00,-0.07
201607,0.00,0.00
201608,0.00,-0.01
201609,0.00,-0.16
201610,1.63,1.11
201611,0.80,-0.38
201612,1.71,-0.07
201701,5.81,3.55
201702,3.73,1.63
201703,1.39,-0.50
201704,1.02,0.10
201705,0.12,-0.27
201706,0.02,-0.05
201707,0.00,0.00
201708,0.00,-0.01
201709,0.03,-0.13
201710,0.12,-0.40
201711,0.70,-0.48
201712,0.08,-1.70
201801,2.20,-0.06
201802,0.37,-1.73
201803,3.10,1.21
201804,1.06,0.14
201805,0.07,-0.32
201806,0.00,-0.07
201807,0.00,0.00
201808,0.00,-0.01
201809,0.00,-0.16
201810,0.05,-0.47
201811,2.28,1.10
201812,1.37,-0.41
201901,2.30,0.04
201902,3.59,1.49
201903,2.17,0.28
201904,0.12,-0.80
201905,1.37,0.98
201906,0.00,-0.07
201907,0.00,0.00
201908,0.00,-0.01
201909,0.03,-0.13
201910,0.00,-0.52
201911,0.69,-0.49
201912,3.58,1.80
202001,0.67,-1.59
202002,0.00,-2.10
202003,2.09,0.20
202004,1.14,0.22
202005,0.22,-0.17
202006,0.00,-0.07
202007,0.00,0.00
202008,0.00,-0.01
202009,0.00,-0.16
202010,0.00,-0.52
202011,0.61,-0.57
202012,1.04,-0.74
202101,3.52,1.26
202102,0.32,-1.78
202103,0.88,-1.01
202104,0.02,-0.90
202105,0.00,-0.39
202106,0.00,-0.07
202107,0.00,0.00
202108,0.00,-0.01
202109,0.01,-0.15
202110,1.48,0.96
202111,0.27,-0.91
202112,4.00,2.22
202201,0.03,-2.23
202202,0.03,-2.07
202203,0.93,-0.96
202204,0.74,-0.18
202205,0.00,-0.39
202206,0.01,-0.06
202207,0.00,0.00
202208,0.02,0.01
202209,0.22,0.06
202210,0.00,-0.52
202211,1.15,-0.03
202212,4.64,2.86
202301,5.91,3.65
202302,2.09,-0.01
202303,3.95,2.06
