Calaveras County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199407,0.00,-0.04
199408,0.00,-0.05
199409,0.43,-0.04
199410,1.74,-0.02
199411,7.30,3.48
199412,4.34,-0.97
199501,15.38,8.72
199502,0.99,-4.98
199503,15.04,9.46
199504,5.25,2.45
199505,4.40,3.00
199506,1.48,1.07
199507,0.02,-0.02
199508,0.00,-0.05
199509,0.00,-0.47
199510,0.00,-1.76
199511,0.28,-3.54
199512,7.82,2.51
199601,9.26,2.60
199602,9.04,3.07
199603,4.72,-0.86
199604,3.25,0.45
199605,4.72,3.32
199606,0.75,0.34
199607,0.04,0.00
199608,0.02,-0.03
199609,0.11,-0.36
199610,1.75,-0.01
199611,6.34,2.52
199612,14.95,9.64
199701,14.90,8.24
199702,0.78,-5.19
199703,0.39,-5.19
199704,0.72,-2.08
199705,0.48,-0.92
199706,0.92,0.51
199707,0.04,0.00
199708,0.06,0.01
199709,0.12,-0.35
199710,1.65,-0.11
199711,5.76,1.94
199712,3.10,-2.21
199801,12.81,6.15
199802,15.06,9.09
199803,6.14,0.56
199804,4.28,1.48
199805,6.08,4.68
199806,0.94,0.53
199807,0.03,-0.01
199808,0.00,-0.05
199809,0.97,0.50
199810,0.63,-1.13
199811,4.88,1.06
199812,3.07,-2.24
199901,8.14,1.48
199902,10.21,4.24
199903,3.06,-2.52
199904,2.86,0.06
199905,0.98,-0.42
199906,0.48,0.07
199907,0.00,-0.04
199908,0.11,0.06
199909,0.05,-0.42
199910,0.95,-0.81
199911,3.81,-0.01
199912,0.70,-4.61
200001,11.57,4.91
200002,12.91,6.94
200003,2.33,-3.25
200004,2.50,-0.30
200005,3.11,1.71
200006,0.56,0.15
200007,0.00,-0.04
200008,0.07,0.02
200009,0.91,0.44
200010,4.65,2.89
200011,1.30,-2.52
200012,1.24,-4.07
200101,4.95,-1.71
200102,5.85,-0.12
200103,2.93,-2.65
200104,4.00,1.20
200105,0.05,-1.35
200106,0.08,-0.33
200107,0.04,0.00
200108,0.00,-0.05
200109,0.35,-0.12
200110,0.93,-0.83
200111,5.16,1.34
200112,9.62,4.31
200201,3.09,-3.57
200202,2.81,-3.16
200203,5.38,-0.20
200204,1.38,-1.42
200205,1.62,0.22
200206,0.01,-0.40
200207,0.01,-0.03
200208,0.00,-0.05
200209,0.03,-0.44
200210,0.03,-1.73
200211,4.76,0.94
200212,9.79,4.48
200301,1.27,-5.39
200302,2.40,-3.57
200303,2.75,-2.83
200304,7.42,4.62
200305,1.27,-0.13
200306,0.01,-0.40
200307,0.03,-0.01
200308,0.42,0.37
200309,0.04,-0.43
200310,0.06,-1.70
200311,2.99,-0.83
200312,10.31,5.00
200401,3.44,-3.22
200402,7.25,1.28
200403,1.26,-4.32
200404,0.30,-2.50
200405,0.42,-0.98
200406,0.02,-0.39
200407,0.00,-0.04
200408,0.01,-0.04
200409,0.27,-0.20
200410,5.91,4.15
200411,3.20,-0.62
200412,7.29,1.98
200501,10.11,3.45
200502,4.73,-1.24
200503,8.71,3.13
200504,2.14,-0.66
200505,3.77,2.37
200506,0.83,0.42
200507,0.01,-0.03
200508,0.03,-0.02
200509,0.78,0.31
200510,0.73,-1.03
200511,2.07,-1.75
200512,13.91,8.60
200601,7.20,0.54
200602,3.58,-2.39
200603,10.85,5.27
200604,8.86,6.06
200605,1.53,0.13
200606,0.01,-0.40
200607,0.01,-0.03
200608,0.00,-0.05
200609,0.04,-0.43
200610,0.92,-0.84
200611,2.86,-0.96
200612,4.75,-0.56
200701,1.51,-5.15
200702,9.09,3.12
200703,1.14,-4.44
200704,2.43,-0.37
200705,0.85,-0.55
200706,0.09,-0.32
200707,0.03,-0.01
200708,0.01,-0.04
200709,0.31,-0.16
200710,1.47,-0.29
200711,1.10,-2.72
200712,5.33,0.02
200801,9.89,3.23
200802,4.71,-1.26
200803,0.64,-4.94
200804,0.23,-2.57
200805,0.83,-0.57
200806,0.00,-0.41
200807,0.00,-0.04
200808,0.00,-0.05
200809,0.00,-0.47
200810,0.95,-0.81
200811,3.25,-0.57
200812,4.82,-0.49
200901,3.70,-2.96
200902,6.60,0.63
200903,5.20,-0.38
200904,1.47,-1.33
200905,2.57,1.17
200906,0.23,-0.18
200907,0.00,-0.04
200908,0.02,-0.03
200909,0.21,-0.26
200910,3.24,1.48
200911,0.93,-2.89
200912,5.45,0.14
201001,6.72,0.06
201002,5.03,-0.94
201003,4.24,-1.34
201004,6.66,3.86
201005,2.82,1.42
201006,0.06,-0.35
201007,0.00,-0.04
201008,0.02,-0.03
201009,0.00,-0.47
201010,5.54,3.78
201011,7.41,3.59
201012,12.24,6.93
201101,2.90,-3.76
201102,6.44,0.47
201103,12.04,6.46
201104,1.15,-1.65
201105,2.63,1.23
201106,1.97,1.56
201107,0.03,-0.01
201108,0.00,-0.05
201109,0.20,-0.27
201110,3.02,1.26
201111,1.63,-2.19
201112,0.10,-5.21
201201,4.55,-2.11
201202,2.02,-3.95
201203,7.69,2.11
201204,4.87,2.07
201205,0.13,-1.27
201206,0.51,0.10
201207,0.15,0.11
201208,0.02,-0.03
201209,0.19,-0.28
201210,1.21,-0.55
201211,6.41,2.59
201212,10.04,4.73
201301,1.29,-5.37
201302,0.83,-5.14
201303,2.75,-2.83
201304,1.54,-1.26
201305,0.60,-0.80
201306,0.59,0.18
201307,0.01,-0.03
201308,0.00,-0.05
201309,0.76,0.29
201310,0.31,-1.45
201311,1.64,-2.18
201312,0.82,-4.49
201401,1.31,-5.35
201402,8.13,2.16
201403,4.52,-1.06
201404,2.37,-0.43
201405,0.63,-0.77
201406,0.01,-0.40
201407,0.06,0.02
201408,0.04,-0.01
201409,0.87,0.40
201410,0.68,-1.08
201411,3.27,-0.55
201412,7.67,2.36
201501,0.13,-6.53
201502,5.26,-0.71
201503,0.64,-4.94
201504,2.64,-0.16
201505,1.18,-0.22
201506,0.20,-0.21
201507,0.08,0.04
201508,0.01,-0.04
201509,0.04,-0.43
201510,1.80,0.04
201511,5.26,1.44
201512,8.02,2.71
201601,9.56,2.90
201602,1.40,-4.57
201603,8.43,2.85
201604,3.09,0.29
201605,0.58,-0.82
201606,0.01,-0.40
201607,0.00,-0.04
201608,0.00,-0.05
201609,0.03,-0.44
201610,7.31,5.55
201611,3.69,-0.13
201612,6.39,1.08
201701,17.72,11.06
201702,15.63,9.66
201703,4.18,-1.40
201704,5.63,2.83
201705,0.54,-0.86
201706,0.39,-0.02
201707,0.00,-0.04
201708,0.04,-0.01
201709,0.18,-0.29
201710,0.54,-1.22
201711,6.24,2.42
201712,0.46,-4.85
201801,5.28,-1.38
201802,0.83,-5.14
201803,11.27,5.69
201804,4.16,1.36
201805,0.54,-0.86
201806,0.00,-0.41
201807,0.02,-0.02
201808,0.00,-0.05
201809,0.01,-0.46
201810,0.66,-1.10
201811,7.10,3.28
201812,2.76,-2.55
201901,7.70,1.04
201902,14.16,8.19
201903,7.91,2.33
201904,1.83,-0.97
201905,5.40,4.00
201906,0.04,-0.37
201907,0.01,-0.03
201908,0.00,-0.05
201909,0.77,0.30
201910,0.01,-1.75
201911,2.01,-1.81
201912,8.41,3.10
202001,2.11,-4.55
202002,0.03,-5.94
202003,6.77,1.19
202004,2.97,0.17
202005,1.94,0.54
202006,0.07,-0.34
202007,0.01,-0.03
202008,0.02,-0.03
202009,0.08,-0.39
202010,0.01,-1.75
202011,2.14,-1.68
202012,2.79,-2.52
202101,7.38,0.72
202102,2.42,-3.55
202103,3.25,-2.33
202104,0.24,-2.56
202105,0.16,-1.24
202106,0.08,-0.33
202107,0.03,-0.01
202108,0.01,-0.04
202109,0.23,-0.24
202110,8.19,6.43
202111,1.02,-2.80
202112,10.64,5.33
202201,0.21,-6.45
202202,0.35,-5.62
202203,1.30,-4.28
202204,3.41,0.61
202205,0.10,-1.30
202206,0.25,-0.16
202207,0.00,-0.04
202208,0.17,0.12
202209,1.36,0.89
202210,0.04,-1.72
202211,3.21,-0.61
202212,15.95,10.64
202301,13.92,7.26
202302,4.54,-1.43
202303,11.86,6.28
