Monterey County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199311,1.64,-0.32
199312,1.93,-1.50
199401,2.54,-1.85
199402,5.44,1.34
199403,0.88,-2.42
199404,1.37,-0.04
199405,1.42,0.96
199406,0.01,-0.06
199407,0.00,-0.01
199408,0.00,-0.02
199409,0.36,0.16
199410,0.79,0.05
199411,2.87,0.91
199412,1.81,-1.62
199501,13.77,9.38
199502,1.18,-2.92
199503,11.20,7.90
199504,1.28,-0.13
199505,0.94,0.48
199506,0.42,0.35
199507,0.08,0.07
199508,0.00,-0.02
199509,0.00,-0.20
199510,0.00,-0.74
199511,0.10,-1.86
199512,3.59,0.16
199601,4.98,0.59
199602,7.24,3.14
199603,2.40,-0.90
199604,1.17,-0.24
199605,1.14,0.68
199606,0.02,-0.05
199607,0.01,0.00
199608,0.00,-0.02
199609,0.02,-0.18
199610,2.57,1.83
199611,3.01,1.05
199612,8.67,5.24
199701,8.73,4.34
199702,0.26,-3.84
199703,0.11,-3.19
199704,0.18,-1.23
199705,0.05,-0.41
199706,0.04,-0.03
199707,0.02,0.01
199708,0.08,0.06
199709,0.05,-0.15
199710,0.22,-0.52
199711,5.75,3.79
199712,5.24,1.81
199801,6.68,2.29
199802,15.97,11.87
199803,3.78,0.48
199804,2.96,1.55
199805,2.51,2.05
199806,0.09,0.02
199807,0.01,0.00
199808,0.00,-0.02
199809,0.11,-0.09
199810,0.43,-0.31
199811,2.96,1.00
199812,1.25,-2.18
199901,2.93,-1.46
199902,2.99,-1.11
199903,3.37,0.07
199904,2.04,0.63
199905,0.03,-0.43
199906,0.10,0.03
199907,0.00,-0.01
199908,0.01,-0.01
199909,0.32,0.12
199910,0.05,-0.69
199911,1.71,-0.25
199912,0.19,-3.24
200001,6.39,2.00
200002,8.62,4.52
200003,2.04,-1.26
200004,1.68,0.27
200005,0.35,-0.11
200006,0.23,0.16
200007,0.01,0.00
200008,0.07,0.05
200009,0.17,-0.03
200010,2.83,2.09
200011,0.22,-1.74
200012,0.34,-3.09
200101,5.95,1.56
200102,5.38,1.28
200103,3.31,0.01
200104,1.87,0.46
200105,0.00,-0.46
200106,0.01,-0.06
200107,0.02,0.01
200108,0.01,-0.01
200109,0.07,-0.13
200110,0.32,-0.42
200111,3.77,1.81
200112,4.94,1.51
200201,1.36,-3.03
200202,1.15,-2.95
200203,1.67,-1.63
200204,0.55,-0.86
200205,0.44,-0.02
200206,0.01,-0.06
200207,0.00,-0.01
200208,0.01,-0.01
200209,0.01,-0.19
200210,0.01,-0.73
200211,3.67,1.71
200212,7.98,4.55
200301,1.15,-3.24
200302,2.45,-1.65
200303,1.60,-1.70
200304,2.43,1.02
200305,1.36,0.90
200306,0.01,-0.06
200307,0.04,0.03
200308,0.08,0.06
200309,0.00,-0.20
200310,0.19,-0.55
200311,1.00,-0.96
200312,6.10,2.67
200401,1.63,-2.76
200402,6.31,2.21
200403,0.54,-2.76
200404,0.04,-1.37
200405,0.01,-0.45
200406,0.02,-0.05
200407,0.01,0.00
200408,0.00,-0.02
200409,0.02,-0.18
200410,4.26,3.52
200411,1.32,-0.64
200412,7.74,4.31
200501,5.85,1.46
200502,5.88,1.78
200503,3.96,0.66
200504,1.56,0.15
200505,0.87,0.41
200506,0.14,0.07
200507,0.06,0.05
200508,0.02,0.00
200509,0.04,-0.16
200510,0.06,-0.68
200511,0.83,-1.13
200512,5.35,1.92
200601,4.91,0.52
200602,1.95,-2.15
200603,6.04,2.74
200604,4.40,2.99
200605,1.38,0.92
200606,0.00,-0.07
200607,0.03,0.02
200608,0.00,-0.02
200609,0.00,-0.20
200610,0.37,-0.37
200611,1.14,-0.82
200612,2.86,-0.57
200701,1.09,-3.30
200702,3.48,-0.62
200703,0.50,-2.80
200704,1.00,-0.41
200705,0.06,-0.40
200706,0.01,-0.06
200707,0.01,0.00
200708,0.06,0.04
200709,0.36,0.16
200710,0.92,0.18
200711,0.22,-1.74
200712,2.00,-1.43
200801,10.28,5.89
200802,2.87,-1.23
200803,0.24,-3.06
200804,0.42,-0.99
200805,0.04,-0.42
200806,0.00,-0.07
200807,0.01,0.00
200808,0.00,-0.02
200809,0.00,-0.20
200810,0.17,-0.57
200811,1.51,-0.45
200812,2.23,-1.20
200901,2.23,-2.16
200902,5.87,1.77
200903,2.30,-1.00
200904,0.42,-0.99
200905,0.32,-0.14
200906,0.05,-0.02
200907,0.01,0.00
200908,0.03,0.01
200909,0.12,-0.08
200910,3.78,3.04
200911,0.19,-1.77
200912,3.10,-0.33
201001,7.61,3.22
201002,4.67,0.57
201003,1.90,-1.40
201004,3.88,2.47
201005,0.46,0.00
201006,0.01,-0.06
201007,0.03,0.02
201008,0.02,0.00
201009,0.01,-0.19
201010,1.06,0.32
201011,2.46,0.50
201012,6.89,3.46
201101,2.60,-1.79
201102,4.70,0.60
201103,7.09,3.79
201104,0.46,-0.95
201105,1.12,0.66
201106,0.36,0.29
201107,0.01,0.00
201108,0.00,-0.02
201109,0.01,-0.19
201110,1.50,0.76
201111,2.28,0.32
201112,0.17,-3.26
201201,2.65,-1.74
201202,0.93,-3.17
201203,3.89,0.59
201204,2.75,1.34
201205,0.06,-0.40
201206,0.09,0.02
201207,0.01,0.00
201208,0.01,-0.01
201209,0.00,-0.20
201210,0.46,-0.28
201211,3.62,1.66
201212,5.47,2.04
201301,1.31,-3.08
201302,0.58,-3.52
201303,0.81,-2.49
201304,0.30,-1.11
201305,0.06,-0.40
201306,0.01,-0.06
201307,0.00,-0.01
201308,0.01,-0.01
201309,0.05,-0.15
201310,0.22,-0.52
201311,0.51,-1.45
201312,0.32,-3.11
201401,0.11,-4.28
201402,4.69,0.59
201403,2.13,-1.17
201404,1.46,0.05
201405,0.04,-0.42
201406,0.00,-0.07
201407,0.02,0.01
201408,0.00,-0.02
201409,0.12,-0.08
201410,0.57,-0.17
201411,2.03,0.07
201412,8.76,5.33
201501,0.10,-4.29
201502,2.19,-1.91
201503,0.29,-3.01
201504,1.24,-0.17
201505,0.39,-0.07
201506,0.05,-0.02
201507,0.13,0.12
201508,0.04,0.02
201509,0.04,-0.16
201510,0.43,-0.31
201511,3.07,1.11
201512,3.27,-0.16
201601,6.92,2.53
201602,1.10,-3.00
201603,4.83,1.53
201604,0.77,-0.64
201605,0.24,-0.22
201606,0.01,-0.06
201607,0.00,-0.01
201608,0.00,-0.02
201609,0.00,-0.20
201610,2.31,1.57
201611,1.95,-0.01
201612,2.73,-0.70
201701,12.07,7.68
201702,7.60,3.50
201703,2.01,-1.29
201704,1.74,0.33
201705,0.11,-0.35
201706,0.05,-0.02
201707,0.03,0.02
201708,0.02,0.00
201709,0.07,-0.13
201710,0.15,-0.59
201711,1.04,-0.92
201712,0.13,-3.30
201801,3.93,-0.46
201802,0.35,-3.75
201803,6.84,3.54
201804,1.24,-0.17
201805,0.06,-0.40
201806,0.00,-0.07
201807,0.01,0.00
201808,0.00,-0.02
201809,0.00,-0.20
201810,0.27,-0.47
201811,3.96,2.00
201812,2.55,-0.88
201901,5.09,0.70
201902,8.85,4.75
201903,3.48,0.18
201904,0.38,-1.03
201905,1.99,1.53
201906,0.03,-0.04
201907,0.00,-0.01
201908,0.00,-0.02
201909,0.03,-0.17
201910,0.00,-0.74
201911,2.23,0.27
201912,8.42,4.99
202001,1.25,-3.14
202002,0.02,-4.08
202003,4.06,0.76
202004,2.49,1.08
202005,0.38,-0.08
202006,0.01,-0.06
202007,0.01,0.00
202008,0.04,0.02
202009,0.00,-0.20
202010,0.00,-0.74
202011,0.56,-1.40
202012,1.39,-2.04
202101,7.68,3.29
202102,0.34,-3.76
202103,1.71,-1.59
202104,0.05,-1.36
202105,0.01,-0.45
202106,0.00,-0.07
202107,0.03,0.02
202108,0.00,-0.02
202109,0.01,-0.19
202110,2.35,1.61
202111,0.41,-1.55
202112,8.21,4.78
202201,0.10,-4.29
202202,0.14,-3.96
202203,1.41,-1.89
202204,0.79,-0.62
202205,0.00,-0.46
202206,0.07,0.00
202207,0.00,-0.01
202208,0.03,0.01
202209,0.62,0.42
202210,0.01,-0.73
202211,2.08,0.12
202212,8.30,4.87
202301,9.92,5.53
202302,3.47,-0.63
202303,8.01,4.71
