Humboldt County, California, Precipitation
199501,26.52,14.86
199502,2.95,-7.11
199503,19.62,11.56
199504,9.36,4.90
199505,2.61,0.15
199506,2.26,1.37
199507,0.26,0.12
199508,0.07,-0.22
199509,0.56,-0.51
199510,0.50,-3.51
199511,2.61,-6.51
199512,22.14,10.97
199601,16.71,5.05
199602,12.77,2.71
199603,6.47,-1.59
199604,7.21,2.75
199605,4.32,1.86
199606,0.12,-0.77
199607,0.04,-0.10
199608,0.00,-0.29
199609,1.34,0.27
199610,4.89,0.88
199611,8.36,-0.76
199612,29.71,18.54
199701,15.74,4.08
199702,4.32,-5.74
199703,4.04,-4.02
199704,4.54,0.08
199705,1.41,-1.05
199706,1.58,0.69
199707,0.05,-0.09
199708,0.77,0.48
199709,2.08,1.01
199710,5.20,1.19
199711,10.43,1.31
199712,7.62,-3.55
199801,22.71,11.05
199802,21.55,11.49
199803,11.53,3.47
199804,3.78,-0.68
199805,4.85,2.39
199806,0.25,-0.64
199807,0.05,-0.09
199808,0.01,-0.28
199809,0.13,-0.94
199810,3.41,-0.60
199811,19.56,10.44
199812,7.80,-3.37
199901,8.19,-3.47
199902,18.61,8.55
199903,11.26,3.20
199904,3.34,-1.12
199905,1.68,-0.78
199906,0.04,-0.85
199907,0.01,-0.13
199908,0.22,-0.07
199909,0.01,-1.06
199910,2.79,-1.22
199911,10.83,1.71
199912,5.18,-5.99
200001,15.67,4.01
200002,13.70,3.64
200003,3.76,-4.30
200004,3.80,-0.66
200005,2.64,0.18
200006,0.73,-0.16
200007,0.05,-0.09
200008,0.02,-0.27
200009,0.54,-0.53
200010,4.90,0.89
200011,4.25,-4.87
200012,3.94,-7.23
200101,5.90,-5.76
200102,7.49,-2.57
200103,4.62,-3.44
200104,3.21,-1.25
200105,1.06,-1.40
200106,1.13,0.24
200107,0.13,-0.01
200108,0.20,-0.09
200109,0.49,-0.58
200110,1.99,-2.02
200111,14.04,4.92
200112,16.71,5.54
200201,9.89,-1.77
200202,7.71,-2.35
200203,5.66,-2.40
200204,2.78,-1.68
200205,1.17,-1.29
200206,0.18,-0.71
200207,0.04,-0.10
200208,0.01,-0.28
200209,0.09,-0.98
200210,0.05,-3.96
200211,6.13,-2.99
200212,33.21,22.04
200301,9.18,-2.48
200302,5.55,-4.51
200303,8.66,0.60
200304,14.94,10.48
200305,1.74,-0.72
200306,0.06,-0.83
200307,0.01,-0.13
200308,0.54,0.25
200309,0.52,-0.55
200310,0.33,-3.68
200311,7.83,-1.29
200312,18.49,7.32
200401,10.24,-1.42
200402,14.71,4.65
200403,3.53,-4.53
200404,2.61,-1.85
200405,1.31,-1.15
200406,0.09,-0.80
200407,0.04,-0.10
200408,0.33,0.04
200409,0.44,-0.63
200410,7.61,3.60
200411,2.21,-6.91
200412,13.42,2.25
200501,7.77,-3.89
200502,3.38,-6.68
200503,9.75,1.69
200504,7.45,2.99
200505,6.75,4.29
200506,3.60,2.71
200507,0.03,-0.11
200508,0.01,-0.28
200509,0.11,-0.96
200510,2.88,-1.13
200511,10.71,1.59
200512,23.32,12.15
200601,16.34,4.68
200602,8.62,-1.44
200603,15.51,7.45
200604,6.48,2.02
200605,2.02,-0.44
200606,0.45,-0.44
200607,0.03,-0.11
200608,0.05,-0.24
200609,0.15,-0.92
200610,0.65,-3.36
200611,12.12,3.00
200612,13.14,1.97
200701,2.45,-9.21
200702,15.69,5.63
200703,3.25,-4.81
200704,4.16,-0.30
200705,1.03,-1.43
200706,0.37,-0.52
200707,0.65,0.51
200708,0.09,-0.20
200709,0.35,-0.72
200710,6.90,2.89
200711,3.22,-5.90
200712,12.12,0.95
200801,17.21,5.55
200802,6.27,-3.79
200803,4.36,-3.70
200804,2.83,-1.63
200805,0.20,-2.26
200806,0.24,-0.65
200807,0.05,-0.09
200808,0.24,-0.05
200809,0.06,-1.01
200810,2.20,-1.81
200811,7.36,-1.76
200812,10.16,-1.01
200901,2.37,-9.29
200902,10.32,0.26
200903,7.88,-0.18
200904,1.16,-3.30
200905,4.23,1.77
200906,0.37,-0.52
200907,0.05,-0.09
200908,0.12,-0.17
200909,0.47,-0.60
200910,4.43,0.42
200911,5.93,-3.19
200912,6.33,-4.84
201001,15.05,3.39
201002,7.91,-2.15
201003,7.85,-0.21
201004,10.51,6.05
201005,4.18,1.72
201006,2.21,1.32
201007,0.02,-0.12
201008,0.10,-0.19
201009,1.06,-0.01
201010,7.52,3.51
201011,7.43,-1.69
201012,17.54,6.37
201101,2.69,-8.97
201102,6.49,-3.57
201103,17.65,9.59
201104,5.47,1.01
201105,2.52,0.06
201106,1.76,0.87
201107,0.22,0.08
201108,0.06,-0.23
201109,0.34,-0.73
201110,5.47,1.46
201111,5.98,-3.14
201112,2.52,-8.65
201201,11.05,-0.61
201202,4.37,-5.69
201203,16.98,8.92
201204,5.81,1.35
201205,0.86,-1.60
201206,1.75,0.86
201207,0.43,0.29
201208,0.05,-0.24
201209,0.04,-1.03
201210,3.84,-0.17
201211,11.31,2.19
201212,18.01,6.84
201301,3.21,-8.45
201302,1.89,-8.17
201303,4.27,-3.79
201304,2.86,-1.60
201305,1.61,-0.85
201306,0.86,-0.03
201307,0.01,-0.13
201308,0.36,0.07
201309,3.48,2.41
201310,0.05,-3.96
201311,1.70,-7.42
201312,1.00,-10.17
201401,1.79,-9.87
201402,9.16,-0.90
201403,10.35,2.29
201404,1.93,-2.53
201405,0.80,-1.66
201406,0.38,-0.51
201407,0.05,-0.09
201408,0.01,-0.28
201409,2.91,1.84
201410,7.58,3.57
201411,5.67,-3.45
201412,13.96,2.79
201501,2.13,-9.53
201502,10.79,0.73
201503,3.68,-4.38
201504,3.29,-1.17
201505,0.38,-2.08
201506,0.17,-0.72
201507,0.38,0.24
201508,0.47,0.18
201509,0.62,-0.45
201510,1.10,-2.91
201511,5.43,-3.69
201512,22.11,10.94
201601,19.71,8.05
201602,4.29,-5.77
201603,14.58,6.52
201604,3.52,-0.94
201605,1.41,-1.05
201606,0.30,-0.59
201607,0.31,0.17
201608,0.01,-0.28
201609,0.04,-1.03
201610,15.75,11.74
201611,8.89,-0.23
201612,11.05,-0.12
201701,18.42,6.76
201702,20.69,10.63
201703,10.95,2.89
201704,8.43,3.97
201705,1.40,-1.06
201706,0.79,-0.10
201707,0.05,-0.09
201708,0.36,0.07
201709,0.97,-0.10
201710,1.87,-2.14
201711,10.53,1.41
201712,2.26,-8.91
201801,11.12,-0.54
201802,3.08,-6.98
201803,11.26,3.20
201804,6.23,1.77
201805,1.19,-1.27
201806,0.42,-0.47
201807,0.02,-0.12
201808,0.02,-0.27
201809,0.56,-0.51
201810,1.29,-2.72
201811,6.96,-2.16
201812,6.47,-4.70
201901,12.30,0.64
201902,22.52,12.46
201903,7.79,-0.27
201904,4.03,-0.43
201905,4.57,2.11
201906,0.01,-0.88
201907,0.02,-0.12
201908,0.35,0.06
201909,2.42,1.35
201910,1.88,-2.13
201911,2.76,-6.36
201912,12.83,1.66
202001,11.70,0.04
202002,1.10,-8.96
202003,3.81,-4.25
202004,2.59,-1.87
202005,6.03,3.57
202006,0.52,-0.37
202007,0.03,-0.11
202008,0.06,-0.23
202009,0.69,-0.38
202010,0.51,-3.50
202011,4.26,-4.86
202012,6.37,-4.80
202101,11.38,-0.28
202102,7.52,-2.54
202103,5.85,-2.21
202104,0.91,-3.55
202105,0.35,-2.11
202106,1.13,0.24
202107,0.13,-0.01
202108,0.03,-0.26
202109,1.61,0.54
202110,7.12,3.11
202111,4.90,-4.22
202112,11.49,0.32
202201,3.24,-8.42
202202,0.72,-9.34
202203,2.66,-5.40
202204,6.66,2.20
202205,2.71,0.25
202206,1.78,0.89
202207,0.57,0.43
202208,0.03,-0.26
202209,0.95,-0.12
202210,0.29,-3.72
202211,6.88,-2.24
202212,14.81,3.64
202301,15.57,3.91
202302,8.00,-2.06
202303,14.39,6.33
