San Mateo County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199408,0.01,-0.05
199409,0.06,-0.20
199410,0.59,-0.75
199411,7.64,4.48
199412,3.43,-1.68
199501,13.91,7.71
199502,0.45,-4.80
199503,12.12,7.79
199504,2.66,0.74
199505,1.86,1.07
199506,0.91,0.70
199507,0.01,-0.01
199508,0.00,-0.06
199509,0.02,-0.24
199510,0.03,-1.31
199511,0.15,-3.01
199512,9.24,4.13
199601,8.51,2.31
199602,8.54,3.29
199603,3.45,-0.88
199604,2.14,0.22
199605,2.32,1.53
199606,0.04,-0.17
199607,0.01,-0.01
199608,0.00,-0.06
199609,0.06,-0.20
199610,1.27,-0.07
199611,4.15,0.99
199612,10.76,5.65
199701,11.32,5.12
199702,0.40,-4.85
199703,0.62,-3.71
199704,0.74,-1.18
199705,0.44,-0.35
199706,0.43,0.22
199707,0.00,-0.02
199708,0.39,0.33
199709,0.03,-0.23
199710,1.00,-0.34
199711,9.22,6.06
199712,3.89,-1.22
199801,12.76,6.56
199802,17.74,12.49
199803,3.58,-0.75
199804,3.02,1.10
199805,3.99,3.20
199806,0.21,0.00
199807,0.04,0.02
199808,0.01,-0.05
199809,0.16,-0.10
199810,0.97,-0.37
199811,4.63,1.47
199812,1.85,-3.26
199901,6.16,-0.04
199902,7.85,2.60
199903,4.12,-0.21
199904,2.62,0.70
199905,0.15,-0.64
199906,0.28,0.07
199907,0.00,-0.02
199908,0.12,0.06
199909,0.27,0.01
199910,0.59,-0.75
199911,2.66,-0.50
199912,0.75,-4.36
200001,8.91,2.71
200002,12.07,6.82
200003,2.61,-1.72
200004,2.21,0.29
200005,1.40,0.61
200006,0.31,0.10
200007,0.01,-0.01
200008,0.04,-0.02
200009,0.32,0.06
200010,3.51,2.17
200011,1.16,-2.00
200012,0.90,-4.21
200101,5.26,-0.94
200102,7.34,2.09
200103,2.34,-1.99
200104,2.25,0.33
200105,0.00,-0.79
200106,0.14,-0.07
200107,0.04,0.02
200108,0.05,-0.01
200109,0.18,-0.08
200110,0.55,-0.79
200111,6.40,3.24
200112,10.57,5.46
200201,2.12,-4.08
200202,2.22,-3.03
200203,3.29,-1.04
200204,0.55,-1.37
200205,0.90,0.11
200206,0.05,-0.16
200207,0.01,-0.01
200208,0.02,-0.04
200209,0.01,-0.25
200210,0.04,-1.30
200211,3.59,0.43
200212,14.84,9.73
200301,1.58,-4.62
200302,2.75,-2.50
200303,1.79,-2.54
200304,5.59,3.67
200305,1.13,0.34
200306,0.02,-0.19
200307,0.00,-0.02
200308,0.02,-0.04
200309,0.04,-0.22
200310,0.10,-1.24
200311,2.65,-0.51
200312,9.31,4.20
200401,3.84,-2.36
200402,7.18,1.93
200403,1.07,-3.26
200404,0.33,-1.59
200405,0.10,-0.69
200406,0.02,-0.19
200407,0.03,0.01
200408,0.07,0.01
200409,0.10,-0.16
200410,4.17,2.83
200411,1.70,-1.46
200412,9.03,3.92
200501,5.57,-0.63
200502,5.59,0.34
200503,6.31,1.98
200504,2.54,0.62
200505,1.97,1.18
200506,0.78,0.57
200507,0.02,0.00
200508,0.02,-0.04
200509,0.14,-0.12
200510,0.47,-0.87
200511,1.79,-1.37
200512,12.30,7.19
200601,4.86,-1.34
200602,3.09,-2.16
200603,10.83,6.50
200604,5.96,4.04
200605,0.57,-0.22
200606,0.02,-0.19
200607,0.01,-0.01
200608,0.00,-0.06
200609,0.01,-0.25
200610,0.57,-0.77
200611,2.43,-0.73
200612,4.47,-0.64
200701,1.18,-5.02
200702,6.30,1.05
200703,0.70,-3.63
200704,1.33,-0.59
200705,0.40,-0.39
200706,0.01,-0.20
200707,0.06,0.04
200708,0.01,-0.05
200709,0.30,0.04
200710,2.13,0.79
200711,0.85,-2.31
200712,3.39,-1.72
200801,10.67,4.47
200802,4.07,-1.18
200803,0.29,-4.04
200804,0.21,-1.71
200805,0.02,-0.77
200806,0.00,-0.21
200807,0.01,-0.01
200808,0.01,-0.05
200809,0.01,-0.25
200810,0.64,-0.70
200811,3.14,-0.02
200812,3.33,-1.78
200901,1.47,-4.73
200902,9.32,4.07
200903,3.34,-0.99
200904,0.44,-1.48
200905,1.12,0.33
200906,0.11,-0.10
200907,0.02,0.00
200908,0.03,-0.03
200909,0.27,0.01
200910,4.38,3.04
200911,0.49,-2.67
200912,3.43,-1.68
201001,8.14,1.94
201002,4.38,-0.87
201003,3.47,-0.86
201004,4.48,2.56
201005,1.29,0.50
201006,0.05,-0.16
201007,0.00,-0.02
201008,0.03,-0.03
201009,0.04,-0.22
201010,1.50,0.16
201011,3.66,0.50
201012,8.42,3.31
201101,1.64,-4.56
201102,5.94,0.69
201103,8.42,4.09
201104,0.61,-1.31
201105,1.14,0.35
201106,1.07,0.86
201107,0.03,0.01
201108,0.01,-0.05
201109,0.01,-0.25
201110,2.02,0.68
201111,1.81,-1.35
201112,0.24,-4.87
201201,3.43,-2.77
201202,1.53,-3.72
201203,7.40,3.07
201204,3.75,1.83
201205,0.07,-0.72
201206,0.25,0.04
201207,0.02,0.00
201208,0.01,-0.05
201209,0.01,-0.25
201210,1.52,0.18
201211,5.83,2.67
201212,9.35,4.24
201301,0.61,-5.59
201302,0.72,-4.53
201303,1.23,-3.10
201304,0.92,-1.00
201305,0.09,-0.70
201306,0.17,-0.04
201307,0.00,-0.02
201308,0.01,-0.05
201309,0.60,0.34
201310,0.05,-1.29
201311,1.23,-1.93
201312,0.56,-4.55
201401,0.07,-6.13
201402,5.98,0.73
201403,2.78,-1.55
201404,1.83,-0.09
201405,0.08,-0.71
201406,0.01,-0.20
201407,0.04,0.02
201408,0.02,-0.04
201409,0.53,0.27
201410,0.74,-0.60
201411,2.59,-0.57
201412,13.88,8.77
201501,0.01,-6.19
201502,3.26,-1.99
201503,0.26,-4.07
201504,1.51,-0.41
201505,0.28,-0.51
201506,0.19,-0.02
201507,0.05,0.03
201508,0.01,-0.05
201509,0.04,-0.22
201510,0.10,-1.24
201511,2.42,-0.74
201512,5.94,0.83
201601,8.05,1.85
201602,1.23,-4.02
201603,8.73,4.40
201604,2.15,0.23
201605,0.19,-0.60
201606,0.01,-0.20
201607,0.02,0.00
201608,0.01,-0.05
201609,0.00,-0.26
201610,4.78,3.44
201611,2.51,-0.65
201612,5.40,0.29
201701,13.98,7.78
201702,10.91,5.66
201703,4.00,-0.33
201704,3.28,1.36
201705,0.01,-0.78
201706,0.09,-0.12
201707,0.00,-0.02
201708,0.01,-0.05
201709,0.15,-0.11
201710,0.37,-0.97
201711,3.86,0.70
201712,0.13,-4.98
201801,6.24,0.04
201802,0.47,-4.78
201803,6.01,1.68
201804,3.13,1.21
201805,0.11,-0.68
201806,0.01,-0.20
201807,0.01,-0.01
201808,0.00,-0.06
201809,0.01,-0.25
201810,0.12,-1.22
201811,4.06,0.90
201812,2.56,-2.55
201901,6.54,0.34
201902,10.48,5.23
201903,6.03,1.70
201904,0.87,-1.05
201905,2.96,2.17
201906,0.03,-0.18
201907,0.01,-0.01
201908,0.01,-0.05
201909,0.11,-0.15
201910,0.01,-1.33
201911,1.66,-1.50
201912,5.62,0.51
202001,2.40,-3.80
202002,0.00,-5.25
202003,2.68,-1.65
202004,1.94,0.02
202005,0.70,-0.09
202006,0.02,-0.19
202007,0.01,-0.01
202008,0.09,0.03
202009,0.00,-0.26
202010,0.00,-1.34
202011,0.84,-2.32
202012,2.27,-2.84
202101,3.89,-2.31
202102,1.88,-3.37
202103,1.94,-2.39
202104,0.08,-1.84
202105,0.01,-0.78
202106,0.03,-0.18
202107,0.01,-0.01
202108,0.01,-0.05
202109,0.06,-0.20
202110,5.89,4.55
202111,1.00,-2.16
202112,11.27,6.16
202201,0.54,-5.66
202202,0.10,-5.15
202203,1.02,-3.31
202204,2.19,0.27
202205,0.05,-0.74
202206,0.12,-0.09
202207,0.04,0.02
202208,0.03,-0.03
202209,0.46,0.20
202210,0.03,-1.31
202211,2.43,-0.73
202212,13.67,8.56
202301,11.62,5.42
202302,4.89,-0.36
202303,9.80,5.47
