Fresno County, California, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199307,0.00,-0.11
199308,0.02,-0.11
199309,0.00,-0.39
199310,0.39,-0.48
199311,1.71,-0.15
199312,1.54,-1.44
199401,1.37,-2.38
199402,4.18,0.62
199403,1.33,-1.85
199404,1.60,-0.12
199405,1.68,0.85
199406,0.00,-0.21
199407,0.02,-0.09
199408,0.00,-0.13
199409,1.15,0.76
199410,1.41,0.54
199411,2.96,1.10
199412,1.74,-1.24
199501,10.21,6.46
199502,1.23,-2.33
199503,11.02,7.84
199504,1.86,0.14
199505,2.46,1.63
199506,0.70,0.49
199507,0.07,-0.04
199508,0.02,-0.11
199509,0.01,-0.38
199510,0.00,-0.87
199511,0.03,-1.83
199512,4.10,1.12
199601,4.27,0.52
199602,6.43,2.87
199603,3.09,-0.09
199604,2.31,0.59
199605,1.33,0.50
199606,0.12,-0.09
199607,0.19,0.08
199608,0.05,-0.08
199609,0.01,-0.38
199610,2.49,1.62
199611,4.36,2.50
199612,7.68,4.70
199701,9.03,5.28
199702,0.50,-3.06
199703,0.20,-2.98
199704,0.16,-1.56
199705,0.19,-0.64
199706,0.39,0.18
199707,0.23,0.12
199708,0.03,-0.10
199709,0.31,-0.08
199710,0.35,-0.52
199711,3.24,1.38
199712,2.75,-0.23
199801,4.81,1.06
199802,10.64,7.08
199803,4.54,1.36
199804,2.47,0.75
199805,2.78,1.95
199806,1.18,0.97
199807,0.07,-0.04
199808,0.04,-0.09
199809,0.91,0.52
199810,0.41,-0.46
199811,1.52,-0.34
199812,0.92,-2.06
199901,4.31,0.56
199902,2.56,-1.00
199903,1.44,-1.74
199904,2.11,0.39
199905,0.37,-0.46
199906,0.38,0.17
199907,0.16,0.05
199908,0.09,-0.04
199909,0.18,-0.21
199910,0.09,-0.78
199911,1.03,-0.83
199912,0.09,-2.89
200001,5.20,1.45
200002,7.24,3.68
200003,1.67,-1.51
200004,1.79,0.07
200005,0.70,-0.13
200006,0.53,0.32
200007,0.00,-0.11
200008,0.19,0.06
200009,0.23,-0.16
200010,2.67,1.80
200011,0.25,-1.61
200012,0.25,-2.73
200101,4.03,0.28
200102,4.37,0.81
200103,2.66,-0.52
200104,2.90,1.18
200105,0.15,-0.68
200106,0.00,-0.21
200107,0.47,0.36
200108,0.07,-0.06
200109,0.13,-0.26
200110,0.67,-0.20
200111,3.39,1.53
200112,4.37,1.39
200201,1.59,-2.16
200202,0.71,-2.85
200203,2.09,-1.09
200204,0.87,-0.85
200205,0.76,-0.07
200206,0.05,-0.16
200207,0.04,-0.07
200208,0.01,-0.12
200209,0.09,-0.30
200210,0.10,-0.77
200211,4.35,2.49
200212,4.89,1.91
200301,0.43,-3.32
200302,2.70,-0.86
200303,1.97,-1.21
200304,3.18,1.46
200305,1.74,0.91
200306,0.01,-0.20
200307,0.41,0.30
200308,0.34,0.21
200309,0.09,-0.30
200310,0.09,-0.78
200311,1.43,-0.43
200312,4.07,1.09
200401,1.66,-2.09
200402,4.42,0.86
200403,1.01,-2.17
200404,0.43,-1.29
200405,0.22,-0.61
200406,0.04,-0.17
200407,0.06,-0.05
200408,0.11,-0.02
200409,0.05,-0.34
200410,4.36,3.49
200411,1.46,-0.40
200412,4.82,1.84
200501,6.38,2.63
200502,3.64,0.08
200503,4.05,0.87
200504,1.42,-0.30
200505,2.70,1.87
200506,0.06,-0.15
200507,0.01,-0.10
200508,0.34,0.21
200509,0.42,0.03
200510,0.34,-0.53
200511,0.57,-1.29
200512,4.93,1.95
200601,5.38,1.63
200602,2.27,-1.29
200603,5.75,2.57
200604,5.39,3.67
200605,1.14,0.31
200606,0.03,-0.18
200607,0.27,0.16
200608,0.00,-0.13
200609,0.00,-0.39
200610,0.54,-0.33
200611,0.52,-1.34
200612,2.19,-0.79
200701,0.93,-2.82
200702,3.31,-0.25
200703,0.97,-2.21
200704,0.85,-0.87
200705,0.10,-0.73
200706,0.01,-0.20
200707,0.07,-0.04
200708,0.27,0.14
200709,0.41,0.02
200710,0.52,-0.35
200711,0.18,-1.68
200712,2.71,-0.27
200801,6.27,2.52
200802,3.61,0.05
200803,0.32,-2.86
200804,0.02,-1.70
200805,0.71,-0.12
200806,0.00,-0.21
200807,0.20,0.09
200808,0.00,-0.13
200809,0.04,-0.35
200810,0.49,-0.38
200811,1.95,0.09
200812,2.45,-0.53
200901,2.28,-1.47
200902,3.93,0.37
200903,1.39,-1.79
200904,0.76,-0.96
200905,0.62,-0.21
200906,0.57,0.36
200907,0.02,-0.09
200908,0.08,-0.05
200909,0.05,-0.34
200910,3.02,2.15
200911,0.25,-1.61
200912,3.74,0.76
201001,4.53,0.78
201002,4.21,0.65
201003,1.69,-1.49
201004,3.75,2.03
201005,0.58,-0.25
201006,0.02,-0.19
201007,0.06,-0.05
201008,0.00,-0.13
201009,0.00,-0.39
201010,1.90,1.03
201011,2.68,0.82
201012,10.14,7.16
201101,2.07,-1.68
201102,3.13,-0.43
201103,6.43,3.25
201104,0.78,-0.94
201105,1.35,0.52
201106,0.87,0.66
201107,0.27,0.16
201108,0.07,-0.06
201109,0.15,-0.24
201110,1.28,0.41
201111,1.20,-0.66
201112,0.02,-2.96
201201,2.39,-1.36
201202,0.77,-2.79
201203,3.21,0.03
201204,2.63,0.91
201205,0.07,-0.76
201206,0.09,-0.12
201207,0.01,-0.10
201208,0.24,0.11
201209,0.01,-0.38
201210,0.53,-0.34
201211,1.80,-0.06
201212,4.59,1.61
201301,1.07,-2.68
201302,0.76,-2.80
201303,0.86,-2.32
201304,0.42,-1.30
201305,0.34,-0.49
201306,0.03,-0.18
201307,0.21,0.10
201308,0.18,0.05
201309,0.16,-0.23
201310,0.38,-0.49
201311,0.37,-1.49
201312,0.51,-2.47
201401,0.58,-3.17
201402,2.62,-0.94
201403,1.76,-1.42
201404,1.51,-0.21
201405,0.30,-0.53
201406,0.01,-0.20
201407,0.26,0.15
201408,0.19,0.06
201409,0.32,-0.07
201410,0.12,-0.75
201411,1.29,-0.57
201412,3.48,0.50
201501,0.19,-3.56
201502,1.89,-1.67
201503,0.28,-2.90
201504,1.01,-0.71
201505,1.02,0.19
201506,0.18,-0.03
201507,0.56,0.45
201508,0.02,-0.11
201509,0.16,-0.23
201510,1.16,0.29
201511,2.55,0.69
201512,3.21,0.23
201601,5.47,1.72
201602,1.20,-2.36
201603,3.34,0.16
201604,1.94,0.22
201605,0.64,-0.19
201606,0.25,0.04
201607,0.00,-0.11
201608,0.02,-0.11
201609,0.07,-0.32
201610,1.78,0.91
201611,1.40,-0.46
201612,3.49,0.51
201701,12.17,8.42
201702,7.34,3.78
201703,1.67,-1.51
201704,3.01,1.29
201705,0.51,-0.32
201706,0.09,-0.12
201707,0.01,-0.10
201708,0.23,0.10
201709,0.45,0.06
201710,0.15,-0.72
201711,1.43,-0.43
201712,0.10,-2.88
201801,2.10,-1.65
201802,0.49,-3.07
201803,7.01,3.83
201804,1.71,-0.01
201805,0.26,-0.57
201806,0.00,-0.21
201807,0.25,0.14
201808,0.00,-0.13
201809,0.02,-0.37
201810,0.49,-0.38
201811,3.28,1.42
201812,1.26,-1.72
201901,4.01,0.26
201902,7.15,3.59
201903,3.95,0.77
201904,0.63,-1.09
201905,3.52,2.69
201906,0.08,-0.13
201907,0.07,-0.04
201908,0.00,-0.13
201909,0.01,-0.38
201910,0.00,-0.87
201911,2.01,0.15
201912,3.69,0.71
202001,0.70,-3.05
202002,0.23,-3.33
202003,3.39,0.21
202004,2.76,1.04
202005,0.53,-0.30
202006,0.04,-0.17
202007,0.00,-0.11
202008,0.02,-0.11
202009,0.00,-0.39
202010,0.00,-0.87
202011,0.76,-1.10
202012,1.19,-1.79
202101,3.97,0.22
202102,0.53,-3.03
202103,2.01,-1.17
202104,0.18,-1.54
202105,0.04,-0.79
202106,0.01,-0.20
202107,0.06,-0.05
202108,0.05,-0.08
202109,0.03,-0.36
202110,2.48,1.61
202111,0.38,-1.48
202112,7.09,4.11
202201,0.03,-3.72
202202,0.21,-3.35
202203,1.58,-1.60
202204,0.89,-0.83
202205,0.00,-0.83
202206,0.05,-0.16
202207,0.07,-0.04
202208,0.37,0.24
202209,0.77,0.38
202210,0.00,-0.87
202211,1.86,0.00
202212,7.24,4.26
202301,11.50,7.75
202302,5.46,1.90
202303,7.67,4.49
