Lake County, California, Precipitation
199410,0.90,-1.38
199411,7.61,2.47
199412,6.02,-2.13
199501,33.96,24.91
199502,0.87,-6.84
199503,21.99,16.11
199504,3.52,0.64
199505,3.88,2.55
199506,0.79,0.38
199507,0.11,0.09
199508,0.00,-0.11
199509,0.00,-0.49
199510,0.00,-2.28
199511,0.15,-4.99
199512,15.27,7.12
199601,12.40,3.35
199602,12.89,5.18
199603,4.94,-0.94
199604,4.45,1.57
199605,3.82,2.49
199606,0.34,-0.07
199607,0.00,-0.02
199608,0.00,-0.11
199609,0.19,-0.30
199610,2.15,-0.13
199611,4.61,-0.53
199612,17.04,8.89
199701,16.92,7.87
199702,0.93,-6.78
199703,2.97,-2.91
199704,0.96,-1.92
199705,1.03,-0.30
199706,0.66,0.25
199707,0.01,-0.01
199708,0.88,0.77
199709,0.56,0.07
199710,1.82,-0.46
199711,11.89,6.75
199712,5.41,-2.74
199801,17.10,8.05
199802,28.13,20.42
199803,6.38,0.50
199804,4.71,1.83
199805,7.38,6.05
199806,0.55,0.14
199807,0.00,-0.02
199808,0.00,-0.11
199809,0.20,-0.29
199810,1.61,-0.67
199811,8.54,3.40
199812,2.64,-5.51
199901,4.45,-4.60
199902,12.96,5.25
199903,7.42,1.54
199904,3.14,0.26
199905,0.23,-1.10
199906,0.27,-0.14
199907,0.00,-0.02
199908,0.21,0.10
199909,0.03,-0.46
199910,1.13,-1.15
199911,6.07,0.93
199912,1.22,-6.93
200001,9.42,0.37
200002,14.08,6.37
200003,3.53,-2.35
200004,3.52,0.64
200005,2.97,1.64
200006,0.80,0.39
200007,0.00,-0.02
200008,0.03,-0.08
200009,0.43,-0.06
200010,3.61,1.33
200011,2.07,-3.07
200012,1.59,-6.56
200101,8.25,-0.80
200102,9.96,2.25
200103,4.98,-0.90
200104,1.43,-1.45
200105,0.00,-1.33
200106,0.41,0.00
200107,0.00,-0.02
200108,0.00,-0.11
200109,0.50,0.01
200110,1.75,-0.53
200111,11.70,6.56
200112,14.96,6.81
200201,6.64,-2.41
200202,2.24,-5.47
200203,2.86,-3.02
200204,0.75,-2.13
200205,1.10,-0.23
200206,0.00,-0.41
200207,0.00,-0.02
200208,0.00,-0.11
200209,0.00,-0.49
200210,0.00,-2.28
200211,5.37,0.23
200212,25.78,17.63
200301,5.71,-3.34
200302,2.84,-4.87
200303,5.16,-0.72
200304,9.27,6.39
200305,1.83,0.50
200306,0.00,-0.41
200307,0.02,0.00
200308,0.41,0.30
200309,0.11,-0.38
200310,0.07,-2.21
200311,6.27,1.13
200312,20.13,11.98
200401,5.56,-3.49
200402,14.48,6.77
200403,2.29,-3.59
200404,1.20,-1.68
200405,0.18,-1.15
200406,0.03,-0.38
200407,0.00,-0.02
200408,0.00,-0.11
200409,0.06,-0.43
200410,5.59,3.31
200411,3.04,-2.10
200412,14.32,6.17
200501,9.06,0.01
200502,5.91,-1.80
200503,7.77,1.89
200504,2.91,0.03
200505,5.74,4.41
200506,1.53,1.12
200507,0.00,-0.02
200508,0.00,-0.11
200509,0.03,-0.46
200510,1.03,-1.25
200511,5.90,0.76
200512,23.03,14.88
200601,7.46,-1.59
200602,5.78,-1.93
200603,13.79,7.91
200604,10.85,7.97
200605,1.47,0.14
200606,0.05,-0.36
200607,0.00,-0.02
200608,0.00,-0.11
200609,0.01,-0.48
200610,0.32,-1.96
200611,3.65,-1.49
200612,7.87,-0.28
200701,0.48,-8.57
200702,10.09,2.38
200703,0.62,-5.26
200704,2.43,-0.45
200705,0.56,-0.77
200706,0.00,-0.41
200707,0.13,0.11
200708,0.00,-0.11
200709,0.20,-0.29
200710,2.33,0.05
200711,0.75,-4.39
200712,7.21,-0.94
200801,17.35,8.30
200802,5.69,-2.02
200803,0.62,-5.26
200804,0.46,-2.42
200805,0.20,-1.13
200806,0.01,-0.40
200807,0.00,-0.02
200808,0.00,-0.11
200809,0.15,-0.34
200810,2.03,-0.25
200811,3.94,-1.20
200812,4.61,-3.54
200901,1.07,-7.98
200902,11.45,3.74
200903,4.55,-1.33
200904,0.67,-2.21
200905,2.89,1.56
200906,0.32,-0.09
200907,0.00,-0.02
200908,0.01,-0.10
200909,0.06,-0.43
200910,4.23,1.95
200911,1.97,-3.17
200912,5.16,-2.99
201001,17.08,8.03
201002,6.85,-0.86
201003,5.09,-0.79
201004,8.36,5.48
201005,3.09,1.76
201006,0.19,-0.22
201007,0.00,-0.02
201008,0.00,-0.11
201009,0.26,-0.23
201010,7.19,4.91
201011,4.49,-0.65
201012,11.76,3.61
201101,3.14,-5.91
201102,7.40,-0.31
201103,13.49,7.61
201104,1.13,-1.75
201105,2.62,1.29
201106,1.73,1.32
201107,0.01,-0.01
201108,0.00,-0.11
201109,0.02,-0.47
201110,3.76,1.48
201111,3.54,-1.60
201112,0.45,-7.70
201201,8.16,-0.89
201202,2.71,-5.00
201203,10.42,4.54
201204,3.29,0.41
201205,0.23,-1.10
201206,0.09,-0.32
201207,0.00,-0.02
201208,0.01,-0.10
201209,0.00,-0.49
201210,2.03,-0.25
201211,11.35,6.21
201212,15.62,7.47
201301,2.01,-7.04
201302,1.06,-6.65
201303,3.02,-2.86
201304,1.50,-1.38
201305,0.41,-0.92
201306,1.11,0.70
201307,0.04,0.02
201308,0.01,-0.10
201309,1.17,0.68
201310,0.00,-2.28
201311,1.40,-3.74
201312,0.62,-7.53
201401,0.58,-8.47
201402,11.62,3.91
201403,8.31,2.43
201404,2.04,-0.84
201405,0.11,-1.22
201406,0.00,-0.41
201407,0.00,-0.02
201408,0.20,0.09
201409,1.01,0.52
201410,1.52,-0.76
201411,4.88,-0.26
201412,18.23,10.08
201501,0.46,-8.59
201502,6.44,-1.27
201503,0.55,-5.33
201504,2.52,-0.36
201505,0.21,-1.12
201506,0.08,-0.33
201507,0.17,0.15
201508,0.15,0.04
201509,0.72,0.23
201510,0.26,-2.02
201511,2.42,-2.72
201512,11.38,3.23
201601,14.73,5.68
201602,2.02,-5.69
201603,14.00,8.12
201604,1.35,-1.53
201605,0.93,-0.40
201606,0.26,-0.15
201607,0.00,-0.02
201608,0.00,-0.11
201609,0.00,-0.49
201610,7.48,5.20
201611,5.18,0.04
201612,9.39,1.24
201701,22.13,13.08
201702,17.09,9.38
201703,4.67,-1.21
201704,5.61,2.73
201705,0.03,-1.30
201706,0.28,-0.13
201707,0.00,-0.02
201708,0.00,-0.11
201709,0.04,-0.45
201710,0.42,-1.86
201711,6.45,1.31
201712,0.27,-7.88
201801,8.10,-0.95
201802,0.56,-7.15
201803,7.41,1.53
201804,5.53,2.65
201805,0.24,-1.09
201806,0.01,-0.40
201807,0.00,-0.02
201808,0.00,-0.11
201809,0.16,-0.33
201810,1.41,-0.87
201811,5.89,0.75
201812,5.06,-3.09
201901,11.76,2.71
201902,20.47,12.76
201903,8.86,2.98
201904,1.90,-0.98
201905,5.15,3.82
201906,0.01,-0.40
201907,0.00,-0.02
201908,0.26,0.15
201909,0.35,-0.14
201910,0.07,-2.21
201911,1.66,-3.48
201912,10.46,2.31
202001,5.04,-4.01
202002,0.02,-7.69
202003,2.22,-3.66
202004,1.41,-1.47
202005,2.58,1.25
202006,0.02,-0.39
202007,0.00,-0.02
202008,0.36,0.25
202009,0.02,-0.47
202010,0.03,-2.25
202011,1.72,-3.42
202012,3.60,-4.55
202101,6.07,-2.98
202102,3.09,-4.62
202103,3.29,-2.59
202104,0.41,-2.47
202105,0.01,-1.32
202106,0.05,-0.36
202107,0.00,-0.02
202108,0.00,-0.11
202109,0.30,-0.19
202110,10.09,7.81
202111,2.49,-2.65
202112,10.77,2.62
202201,1.03,-8.02
202202,0.06,-7.65
202203,1.37,-4.51
202204,3.35,0.47
202205,0.36,-0.97
202206,0.66,0.25
202207,0.04,0.02
202208,0.05,-0.06
202209,1.61,1.12
202210,0.03,-2.25
202211,2.71,-2.43
202212,12.92,4.77
202301,18.20,9.15
202302,5.24,-2.47
202303,13.99,8.11
